order_key,customer_key,order_timestamp,order_status,payment_method,shipping_region,fulfillment_center,rejection_reason
ORD-000277,CUST-990361,2025-11-16 22:43:00,Delivered,Buy Now Pay Later,PA,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000282,CUST-990334,2024-05-13 05:18:00,Processing,Credit Card,MI,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000298,CUST-000181,2025-11-12 22:20:00,UNKNOWN_STATE,Buy Now Pay Later,PA,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000307,CUST-000559,2024-03-27 21:15:00,Cancelled,PayPal,OH,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000313,CUST-000296,99-99-9999 INVALID,Delivered,PayPal,GA,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000314,CUST-000082,2025-02-03 12:24:00,PENDING_CHECK,PayPal,GA,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000322,CUST-990473,2025-11-18 18:04:00,Delivered,Buy Now Pay Later,CA,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000330,CUST-000439,2024-07-19 13:16:00,Delivered,Apple Pay,NC,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000357,CUST-000451,99-99-9999 INVALID,Delivered,Apple Pay,IL,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000369,CUST-000472,2024-06-30 19:18:00,Delivered,PayPal,WA,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000393,CUST-000558,2026-01-31 20:07:00,UNKNOWN_STATE,PayPal,TX,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000397,CUST-000377,2025-08-11 05:27:00,Delivered,Credit Card,IL,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000424,CUST-000440,2025-12-25 16:59:00,Delivered,PayPal,GA,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000438,CUST-000161,99-99-9999 INVALID,UNKNOWN_STATE,PayPal,OH,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000464,CUST-000090,99-99-9999 INVALID,Delivered,Direct Bank Transfer,NY,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000469,CUST-000122,2025-04-22 02:30:00,Delivered,Buy Now Pay Later,NC,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000477,CUST-000177,2024-09-17 01:34:00,Delivered,PayPal,NY,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000484,CUST-000396,2029-12-31 23:59:59,Delivered,Direct Bank Transfer,FL,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000497,CUST-000252,2024-03-29 17:44:00,UNKNOWN_STATE,Apple Pay,CA,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000508,CUST-990475,2025-03-06 14:46:00,Delivered,Buy Now Pay Later,CA,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000533,CUST-000440,2024-08-18 08:06:00,Delivered,Credit Card,PA,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000572,CUST-000150,2024-12-28 21:52:00,Processing,Apple Pay,TX,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000578,CUST-000377,2024-02-17 09:57:00,Returned,Apple Pay,CA,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000583,CUST-000645,2026-06-27 03:05:00,Delivered,Credit Card,CO,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000590,CUST-000250,2024-02-05 13:02:00,Delivered,Credit Card,TX,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000595,CUST-000536,2024-07-12 13:14:00,PENDING_CHECK,Credit Card,NC,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000601,CUST-000555,2026-06-10 07:46:00,DISPATCH_ERROR,Buy Now Pay Later,CO,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000622,CUST-000262,2025-09-23 13:18:00,Cancelled,Direct Bank Transfer,PA,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000628,CUST-990366,2024-11-11 22:38:00,Shipped,Credit Card,CO,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000645,CUST-000127,99-99-9999 INVALID,Returned,Direct Bank Transfer,CO,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000649,CUST-000513,2029-12-31 23:59:59,Shipped,PayPal,OH,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000660,CUST-990261,2025-11-26 12:46:00,Delivered,Buy Now Pay Later,IL,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000700,CUST-000443,99-99-9999 INVALID,Delivered,Buy Now Pay Later,NC,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000709,CUST-000160,2024-12-05 20:19:00,Delivered,Credit Card,WA,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000723,CUST-000544,2029-12-31 23:59:59,Delivered,PayPal,PA,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000730,CUST-990974,2024-12-28 07:49:00,Processing,PayPal,TX,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000739,CUST-000191,2025-12-30 23:58:00,Delivered,Direct Bank Transfer,FL,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000746,CUST-990490,2026-06-23 16:59:00,Delivered,Direct Bank Transfer,IL,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000778,CUST-990137,2026-05-07 03:35:00,Delivered,Buy Now Pay Later,NC,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000779,CUST-000480,99-99-9999 INVALID,Delivered,Direct Bank Transfer,IL,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000825,CUST-000538,2024-11-11 18:56:00,Delivered,Direct Bank Transfer,CA,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000827,CUST-990300,2024-09-17 05:18:00,Delivered,Apple Pay,CA,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000837,CUST-000540,99-99-9999 INVALID,Shipped,Direct Bank Transfer,CO,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000856,CUST-000559,2024-02-21 23:01:00,Shipped,Buy Now Pay Later,MI,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000860,CUST-000223,2025-08-20 23:15:00,Delivered,Credit Card,NY,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000874,CUST-990602,2026-05-10 20:05:00,Shipped,Credit Card,TX,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000882,CUST-990760,2025-02-19 04:48:00,Cancelled,Credit Card,NC,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000895,CUST-000442,99-99-9999 INVALID,Delivered,Apple Pay,OH,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000904,CUST-990878,2024-10-04 17:25:00,Delivered,Buy Now Pay Later,MI,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000914,CUST-000262,2024-11-07 20:03:00,Shipped,Direct Bank Transfer,MI,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000927,CUST-000614,2029-12-31 23:59:59,Shipped,PayPal,FL,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000928,CUST-990453,2025-05-17 02:56:00,Delivered,PayPal,CO,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000948,CUST-000543,2029-12-31 23:59:59,Delivered,PayPal,CO,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000952,CUST-000453,2024-05-03 23:15:00,Delivered,PayPal,PA,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000968,CUST-990966,2025-02-16 15:45:00,Processing,Apple Pay,PA,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-000978,CUST-000150,2025-11-10 15:27:00,Delivered,Apple Pay,GA,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001048,CUST-000494,2025-05-21 03:34:00,Shipped,Credit Card,CO,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001055,CUST-990929,2024-10-28 17:15:00,Delivered,Apple Pay,CO,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001056,CUST-990590,2025-06-30 09:40:00,Delivered,Buy Now Pay Later,TX,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001057,CUST-990629,2024-02-07 10:57:00,Delivered,Direct Bank Transfer,GA,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001064,CUST-990699,2024-12-30 16:30:00,Delivered,Direct Bank Transfer,MI,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001113,CUST-000430,2026-05-24 05:26:00,UNKNOWN_STATE,PayPal,NC,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001116,CUST-990546,2024-12-25 00:50:00,Delivered,Credit Card,NY,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001118,CUST-000559,2025-02-21 19:46:00,Delivered,Direct Bank Transfer,TX,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001120,CUST-990534,2024-05-26 15:29:00,Delivered,Buy Now Pay Later,GA,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001122,CUST-000486,2029-12-31 23:59:59,Processing,Direct Bank Transfer,WA,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001142,CUST-000559,2024-09-23 22:33:00,Shipped,PayPal,TX,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001165,CUST-000538,2026-07-11 21:24:00,Delivered,Credit Card,CA,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001169,CUST-000542,2024-03-10 12:52:00,Delivered,Buy Now Pay Later,FL,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001173,CUST-000475,99-99-9999 INVALID,Delivered,PayPal,NC,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001202,CUST-000559,2025-12-29 18:20:00,Delivered,Credit Card,NY,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001221,CUST-000574,2024-04-08 10:15:00,Delivered,Apple Pay,FL,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001227,CUST-990713,2024-05-17 10:35:00,Delivered,Buy Now Pay Later,OH,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001241,CUST-000262,2025-10-07 00:40:00,Delivered,Buy Now Pay Later,MI,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001247,CUST-990272,2025-07-15 01:30:00,Delivered,Buy Now Pay Later,CA,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001270,CUST-000377,2025-01-11 10:42:00,Cancelled,Buy Now Pay Later,MI,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001280,CUST-990149,2025-07-28 23:40:00,Delivered,Credit Card,CA,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001282,CUST-990841,2025-01-31 06:47:00,Delivered,PayPal,IL,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001288,CUST-990490,2024-06-18 12:30:00,Delivered,Buy Now Pay Later,TX,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001298,CUST-000042,2029-12-31 23:59:59,Delivered,Buy Now Pay Later,PA,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001299,CUST-000571,2024-03-04 04:55:00,Cancelled,Direct Bank Transfer,MI,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001315,CUST-000191,2025-07-04 00:05:00,Delivered,PayPal,IL,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001341,CUST-000255,2024-09-02 10:44:00,Returned,PayPal,CO,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001343,CUST-990643,2024-06-10 10:50:00,Delivered,Direct Bank Transfer,MI,FC-West-02,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001346,CUST-000648,99-99-9999 INVALID,Delivered,Buy Now Pay Later,WA,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001355,CUST-000382,2025-05-22 04:28:00,Delivered,Buy Now Pay Later,TX,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001359,CUST-000494,2025-02-12 04:20:00,Delivered,Buy Now Pay Later,NY,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001367,CUST-990375,2026-05-14 06:28:00,Cancelled,PayPal,IL,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001388,CUST-000055,2025-02-11 06:41:00,Delivered,PayPal,MI,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001400,CUST-000377,2024-05-01 19:23:00,Processing,Buy Now Pay Later,NC,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001406,CUST-000559,2026-07-02 21:10:00,Delivered,Credit Card,NC,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001412,CUST-000542,2025-12-04 12:14:00,Delivered,Direct Bank Transfer,MI,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001418,CUST-000262,2025-05-09 03:27:00,UNKNOWN_STATE,Apple Pay,NY,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001439,CUST-000382,2025-11-12 17:06:00,Delivered,Buy Now Pay Later,NY,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001461,CUST-000354,2024-12-07 17:38:00,Delivered,Apple Pay,GA,FC-Central-03,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001476,CUST-000069,2024-08-12 08:59:00,PENDING_CHECK,Buy Now Pay Later,NC,FC-South-04,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001486,CUST-000177,2026-05-06 12:13:00,Delivered,Direct Bank Transfer,NY,FC-North-05,"Invalid timestamp, invalid status, or missing customer foreign key"
ORD-001493,CUST-000398,2029-12-31 23:59:59,Delivered,Buy Now Pay Later,NC,FC-East-01,"Invalid timestamp, invalid status, or missing customer foreign key"
