return_key,order_key,product_key,return_date,return_quantity,return_reason,rejection_reason
RET-000132,ORD-990317,PROD-000299,2025-12-31 10:41:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000137,ORD-990609,PROD-000532,2024-02-03 06:04:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000139,ORD-000325,PROD-000536,2025-04-20 02:15:00,999,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000140,ORD-000752,PROD-000190,2025-04-14 23:47:00,0,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000141,ORD-000469,PROD-000462,2025-05-08 13:30:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000144,ORD-000420,PROD-000494,2025-04-27 18:45:00,2,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000147,ORD-000583,PROD-000020,2026-07-10 06:05:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000151,ORD-000097,PROD-000421,2023-01-01 00:00:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000153,ORD-001152,PROD-000498,2026-01-03 16:13:00,0,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000159,ORD-001149,PROD-000178,2023-01-01 00:00:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000167,ORD-000675,PROD-000494,2025-05-13 21:47:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000184,ORD-000162,PROD-000348,2025-11-17 14:58:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000185,ORD-000978,PROD-000423,2025-11-14 02:27:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000192,ORD-000653,PROD-000237,2025-05-22 05:32:00,999,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000194,ORD-990671,PROD-000468,2024-12-15 18:05:00,5,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000197,ORD-990350,PROD-000285,2025-02-14 14:47:00,2,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000198,ORD-000889,PROD-000018,2023-01-01 00:00:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000201,ORD-990338,PROD-000041,2026-06-02 23:46:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000202,ORD-000138,PROD-000038,2030-01-10 08:59:59,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000203,ORD-001194,PROD-000471,2023-01-01 00:00:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000205,ORD-000794,PROD-000028,2024-10-02 11:20:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000211,ORD-000232,PROD-000448,2025-07-23 17:48:00,-2,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000214,ORD-001138,PROD-000028,2024-12-31 01:27:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000218,ORD-000709,PROD-000032,2024-12-10 00:19:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000224,ORD-990698,PROD-000080,2025-05-17 23:02:00,3,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000233,ORD-001233,PROD-000179,2024-09-09 05:29:00,2,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000234,ORD-000137,PROD-000430,2023-01-01 00:00:00,2,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000237,ORD-000555,PROD-000447,2026-07-28 03:02:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000240,ORD-000561,PROD-000245,2025-01-27 03:31:00,3,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000243,ORD-000191,PROD-000294,2023-01-01 00:00:00,5,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000251,ORD-000031,PROD-000023,2024-10-09 02:28:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000259,ORD-000434,PROD-000548,2024-04-03 19:00:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000268,ORD-000233,PROD-000123,2025-05-22 10:20:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000270,ORD-000767,PROD-000111,2026-01-19 21:32:00,2,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000276,ORD-990517,PROD-000234,2026-01-19 15:45:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000290,ORD-000357,PROD-000159,2025-01-16 05:00:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000293,ORD-990397,PROD-000191,2025-04-30 05:17:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000297,ORD-990864,PROD-000449,2025-01-20 08:37:00,2,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000299,ORD-990242,PROD-000149,2025-10-17 14:39:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000308,ORD-001202,PROD-000028,2026-01-18 21:20:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000310,ORD-990898,PROD-000135,2023-01-01 00:00:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000311,ORD-000230,PROD-000154,2025-11-16 19:55:00,2,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000316,ORD-000860,PROD-000101,2025-09-01 03:15:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000317,ORD-001173,PROD-000016,2025-01-05 06:00:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000320,ORD-000461,PROD-000352,2024-05-17 02:00:00,999,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000322,ORD-000119,PROD-000264,2025-07-26 04:18:00,-5,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000323,ORD-000581,PROD-000047,2023-01-01 00:00:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000324,ORD-000939,PROD-000407,2025-01-02 15:36:00,999,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000329,ORD-000054,PROD-000427,2025-12-09 21:28:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000338,ORD-001244,PROD-000233,2025-01-07 14:47:00,999,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000345,ORD-990859,PROD-000199,2026-03-17 05:49:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000353,ORD-000739,PROD-000550,2026-01-05 11:58:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000355,ORD-000533,PROD-000293,2024-09-02 17:06:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000358,ORD-000037,PROD-000349,2025-10-31 22:19:00,999,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000362,ORD-000477,PROD-000080,2024-09-23 12:34:00,2,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000363,ORD-001241,PROD-000280,2025-10-10 03:40:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000368,ORD-000397,PROD-000432,2025-08-24 13:27:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000373,ORD-000165,PROD-000034,2025-08-10 08:50:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000375,ORD-000546,PROD-000005,2024-03-21 06:49:00,999,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000376,ORD-000479,PROD-000254,2024-06-08 03:41:00,-5,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000378,ORD-001267,PROD-000468,2025-05-31 19:45:00,999,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000387,ORD-000064,PROD-000348,2025-12-28 09:41:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000389,ORD-000274,PROD-000279,2025-07-03 18:48:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000392,ORD-000606,PROD-000348,2026-05-06 06:26:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000396,ORD-990307,PROD-000408,2026-04-26 03:48:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000400,ORD-000354,PROD-000097,2023-01-01 00:00:00,4,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000406,ORD-990243,PROD-000360,2026-03-18 07:49:00,3,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000411,ORD-000269,PROD-000024,2023-01-01 00:00:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000416,ORD-990733,PROD-000081,2024-11-03 20:12:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000418,ORD-000085,PROD-000371,2024-12-13 13:31:00,2,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000431,ORD-001161,PROD-000427,2025-01-11 23:42:00,2,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000435,ORD-000088,PROD-000515,2024-11-11 06:26:00,2,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000436,ORD-001057,PROD-000271,2024-02-26 14:57:00,2,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000437,ORD-000179,PROD-000252,2023-01-01 00:00:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000439,ORD-001288,PROD-000213,2024-06-30 21:30:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000440,ORD-990982,PROD-000083,2024-12-30 06:57:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000441,ORD-000296,PROD-000234,2023-01-01 00:00:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000442,ORD-000056,PROD-990423,2025-08-24 20:24:00,2,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000444,ORD-990727,PROD-000441,2024-12-12 10:13:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000451,ORD-001165,PROD-000387,2026-07-22 05:24:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000454,ORD-990108,PROD-000480,2026-06-17 00:09:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000455,ORD-990783,PROD-000106,2025-06-04 15:06:00,999,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000458,ORD-000660,PROD-000417,2025-12-13 19:46:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000459,ORD-000723,PROD-000444,2030-01-20 09:59:59,2,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000471,ORD-990532,PROD-000192,2025-02-23 03:22:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000478,ORD-000149,PROD-000450,2026-03-28 03:36:00,999,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000479,ORD-000439,PROD-000418,2023-01-01 00:00:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000484,ORD-990585,PROD-000334,2024-05-24 04:24:00,999,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000485,ORD-000369,PROD-000224,2024-07-17 03:18:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000494,ORD-000830,PROD-000170,2026-05-15 08:00:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000500,ORD-000232,PROD-000421,2025-07-06 13:48:00,2,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000501,ORD-001247,PROD-000260,2025-07-21 06:30:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000505,ORD-000031,PROD-000257,2024-10-08 05:28:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000506,ORD-000802,PROD-000044,2026-02-22 19:34:00,2,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000512,ORD-000739,PROD-000409,2026-01-13 05:58:00,999,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000520,ORD-990615,PROD-000492,2025-01-18 10:22:00,1,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000524,ORD-000750,PROD-000060,2026-03-31 06:58:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000525,ORD-000162,PROD-000142,2025-11-29 10:58:00,2,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000526,ORD-000723,PROD-000314,2030-01-11 00:59:59,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000527,ORD-990196,PROD-000273,2024-09-01 10:11:00,1,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000529,ORD-001282,PROD-000409,2025-02-11 08:47:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000531,ORD-000597,PROD-000462,2025-01-12 08:05:00,999,Wrong Size,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000533,ORD-000092,PROD-000098,2023-01-01 00:00:00,1,Buyer Remorse,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000534,ORD-000777,PROD-000107,2026-04-06 12:21:00,999,Defective Item,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000539,ORD-001222,PROD-000491,2024-08-28 23:02:00,1,Changed Mind,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
RET-000541,ORD-000744,PROD-000307,2023-01-01 00:00:00,1,Late Delivery,"Return date precedes order date, quantity exceeds purchased, or orphan FK"
