line_key,order_key,product_key,quantity,unit_price,discount_pct,rejection_reason
LINE-0000331,ORD-000135,PROD-000080,3,1094.68,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000338,ORD-000138,PROD-000102,1,292.18,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000339,ORD-000138,PROD-000038,1,715.11,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000340,ORD-000138,PROD-000269,2,146.12,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000390,ORD-000162,PROD-000348,1,-75.18,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000391,ORD-000162,PROD-000142,2,0.0,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000399,ORD-000165,PROD-000034,1,0.0,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000428,ORD-000177,PROD-000382,0,15.21,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000444,ORD-000184,PROD-000254,1,72.61,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000445,ORD-000184,PROD-000162,1,15.34,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000446,ORD-000184,PROD-000069,1,1054.97,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000463,ORD-000191,PROD-000394,1,106.63,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000464,ORD-000191,PROD-000323,2,181.54,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000465,ORD-000191,PROD-000429,2,49.57,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000466,ORD-000191,PROD-000294,5,49.9,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000470,ORD-000193,PROD-000485,1,101.1,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000471,ORD-000193,PROD-000065,1,813.43,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000480,ORD-000197,PROD-990145,1,167.73,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000493,ORD-000201,PROD-000028,1,87.66,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000516,ORD-000212,PROD-000136,1,53.41,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000517,ORD-000212,PROD-000541,1,107.91,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000518,ORD-000212,PROD-000425,3,60.53,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000527,ORD-000216,PROD-000028,1,87.66,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000542,ORD-000223,PROD-000497,1,185.59,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000543,ORD-000223,PROD-000550,1,116.36,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000548,ORD-000226,PROD-000528,1,0.0,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000556,ORD-000230,PROD-000260,1,248.5,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000557,ORD-000230,PROD-000154,5,58.39,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000558,ORD-000230,PROD-000346,2,119.28,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000559,ORD-000230,PROD-000108,2,166.47,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000562,ORD-000232,PROD-000147,5,497.34,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000563,ORD-000232,PROD-000448,-2,45.04,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000564,ORD-000232,PROD-000421,2,18.21,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000565,ORD-000233,PROD-000162,1,15.34,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000566,ORD-000233,PROD-000415,1,103.9,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000567,ORD-000233,PROD-000123,4,90.3,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000568,ORD-000233,PROD-000477,1,110.62,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000591,ORD-000244,PROD-000002,2,141.86,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000592,ORD-000244,PROD-000007,2,44.74,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000611,ORD-000250,PROD-000170,1,-69.28,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000654,ORD-000267,PROD-000245,1,0.0,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000662,ORD-000269,PROD-000420,2,98.87,-0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000673,ORD-000274,PROD-000279,1,-88.05,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000678,ORD-000277,PROD-000246,2,89.32,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000679,ORD-000277,PROD-000448,2,45.04,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000680,ORD-000277,PROD-000303,1,46.63,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000687,ORD-000281,PROD-000528,2,0.0,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000691,ORD-000282,PROD-000466,1,87.79,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000692,ORD-000282,PROD-000407,0,55.51,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000693,ORD-000282,PROD-000498,3,45.16,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000694,ORD-000282,PROD-000205,2,128.23,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000724,ORD-000295,PROD-990530,1,135.64,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000732,ORD-000298,PROD-000336,-1,14.85,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000754,ORD-000307,PROD-000037,1,411.24,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000763,ORD-000313,PROD-000340,1,14.72,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000764,ORD-000314,PROD-000460,1,85.53,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000765,ORD-000314,PROD-000294,1,49.9,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000766,ORD-000314,PROD-000313,4,144.33,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000767,ORD-000314,PROD-000175,1,135.64,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000774,ORD-000317,PROD-000142,1,0.0,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000784,ORD-000322,PROD-000298,1,227.02,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000805,ORD-000330,PROD-000483,1,141.02,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000806,ORD-000330,PROD-000361,1,81.85,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000846,ORD-000346,PROD-000548,4,-96.74,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000861,ORD-000351,PROD-000211,1,-46.63,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000867,ORD-000353,PROD-000170,4,-69.28,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000878,ORD-000357,PROD-000159,2,107.03,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000879,ORD-000357,PROD-000121,2,64.95,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000884,ORD-000359,PROD-000094,1,1434.54,1.5,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000887,ORD-000362,PROD-000142,3,0.0,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000888,ORD-000362,PROD-990247,2,11.62,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000905,ORD-000369,PROD-000224,1,60.55,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000910,ORD-000371,PROD-000290,-2,233.92,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000914,ORD-000372,PROD-990602,3,48.78,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000915,ORD-000372,PROD-000028,1,87.66,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000918,ORD-000374,PROD-000169,-5,355.13,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000922,ORD-000375,PROD-000461,-2,12.31,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000934,ORD-000379,PROD-990147,4,11.11,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000939,ORD-000381,PROD-000111,2,73.79,9.99,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000941,ORD-000381,PROD-000263,-5,225.65,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000969,ORD-000392,PROD-000465,-5,109.8,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000970,ORD-000393,PROD-000031,2,836.35,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000971,ORD-000393,PROD-000214,1,488.65,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000972,ORD-000393,PROD-000126,1,487.86,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000973,ORD-000393,PROD-000006,1,100.31,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000981,ORD-000397,PROD-000432,1,34.01,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000982,ORD-000397,PROD-000443,2,35.06,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000983,ORD-000397,PROD-000105,1,1287.33,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0000984,ORD-000397,PROD-000326,1,166.49,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001008,ORD-000408,PROD-000464,1,-13.33,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001026,ORD-000417,PROD-000528,1,0.0,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001029,ORD-000420,PROD-000494,2,0.0,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001031,ORD-000420,PROD-000493,1,37.65,2.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001042,ORD-000424,PROD-000441,1,75.12,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001056,ORD-000429,PROD-000462,-1,50.97,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001067,ORD-000434,PROD-000548,3,-96.74,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001075,ORD-000438,PROD-000425,1,60.53,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001076,ORD-000438,PROD-000001,2,487.03,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001077,ORD-000438,PROD-000357,1,101.31,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001078,ORD-000438,PROD-000196,1,58.68,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001109,ORD-000452,PROD-000494,1,0.0,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001118,ORD-000455,PROD-000506,-2,26.14,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001119,ORD-000456,PROD-000142,1,0.0,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001145,ORD-000464,PROD-000190,2,33.12,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001146,ORD-000464,PROD-000471,1,179.6,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001147,ORD-000464,PROD-000446,2,194.9,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001160,ORD-000469,PROD-000462,1,50.97,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001161,ORD-000469,PROD-000014,3,461.11,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001162,ORD-000469,PROD-000287,2,231.85,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001169,ORD-000473,PROD-000403,0,83.38,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001181,ORD-000477,PROD-000080,2,1094.68,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001182,ORD-000477,PROD-000117,2,331.7,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001188,ORD-000479,PROD-000254,-5,72.61,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001195,ORD-000484,PROD-000403,1,83.38,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001221,ORD-000493,PROD-000265,2,137.1,1.5,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001226,ORD-000496,PROD-000170,2,-69.28,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001230,ORD-000497,PROD-000409,5,17.15,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001253,ORD-000508,PROD-000208,1,116.36,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001314,ORD-000532,PROD-000230,1,147.17,2.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001316,ORD-000532,PROD-000427,1,-17.55,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001318,ORD-000533,PROD-000293,1,78.2,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001319,ORD-000533,PROD-000490,1,160.67,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001336,ORD-000544,PROD-000034,1,0.0,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001348,ORD-000550,PROD-000494,1,0.0,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001363,ORD-000555,PROD-000447,1,17.81,9.99,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001380,ORD-000560,PROD-000044,-2,781.51,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001381,ORD-000561,PROD-000245,3,0.0,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001395,ORD-000569,PROD-990722,2,26.87,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001399,ORD-000572,PROD-000456,2,72.0,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001406,ORD-000576,PROD-990565,1,175.06,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001413,ORD-000578,PROD-000075,3,669.67,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001417,ORD-000581,PROD-990336,1,58.39,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001421,ORD-000583,PROD-000020,1,833.49,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001427,ORD-000585,PROD-000281,1,212.17,1.5,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001432,ORD-000587,PROD-000394,-2,106.63,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001439,ORD-000590,PROD-990721,3,321.6,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001440,ORD-000590,PROD-000300,2,86.7,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001441,ORD-000590,PROD-000111,1,73.79,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001442,ORD-000590,PROD-000479,2,70.07,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001448,ORD-000595,PROD-000431,4,68.89,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001449,ORD-000596,PROD-000015,0,841.49,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001454,ORD-000597,PROD-000142,1,0.0,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001463,ORD-000601,PROD-000542,2,143.62,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001464,ORD-000601,PROD-000196,1,58.68,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001465,ORD-000601,PROD-000081,1,429.22,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001478,ORD-000606,PROD-000348,2,-75.18,0.25,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001486,ORD-000609,PROD-000162,2,15.34,1.5,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001516,ORD-000622,PROD-000415,1,103.9,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001517,ORD-000622,PROD-000101,-5,831.86,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001518,ORD-000622,PROD-000235,1,247.2,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001533,ORD-000628,PROD-000042,1,620.64,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001534,ORD-000628,PROD-000400,2,104.75,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001535,ORD-000628,PROD-000245,1,0.0,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001536,ORD-000628,PROD-000411,1,88.89,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001562,ORD-000638,PROD-000382,1,15.21,2.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001580,ORD-000645,PROD-000186,1,90.7,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001591,ORD-000649,PROD-000251,2,169.13,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001592,ORD-000649,PROD-000384,1,73.3,0.1,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001615,ORD-000658,PROD-000026,1,-18.13,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001618,ORD-000660,PROD-000448,4,45.04,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001619,ORD-000660,PROD-000417,2,36.37,0.2,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001648,ORD-000675,PROD-000494,2,0.0,0.05,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001706,ORD-000700,PROD-000143,1,402.73,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001710,ORD-000702,PROD-000142,1,0.0,0.0,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001726,ORD-000709,PROD-000344,5,95.85,0.15,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
LINE-0001727,ORD-000709,PROD-000324,2,53.68,1.5,"Zero/negative quantity, out-of-bounds discount, or orphan foreign key"
