product_key,product_name,category,subcategory,brand,unit_cost,selling_price
PROD-000132,CozyNest Small Appliances Lite 580,Home & Kitchen,Small Appliances,CozyNest,126.08,274.51
PROD-000133,PureCraft Bedding Lite 109,Home & Kitchen,Bedding,PureCraft,162.58,386.44
PROD-000134,LuminaHome Storage Pro 661,Home & Kitchen,Storage,LuminaHome,109.07,196.21
PROD-000135,PureCraft Storage Plus 355,Home & Kitchen,General Accessories,PureCraft,41.63,94.18
PROD-000136,PureCraft Bedding Max 369,Home & Kitchen,Bedding,PureCraft,25.7,53.41
PROD-000137,ArtisanLiving Storage Standard 801,Home & Kitchen,Storage,ArtisanLiving,69.46,146.84
PROD-000138,CozyNest Storage Plus 292,Home & Kitchen,Storage,CozyNest,272.87,428.93
PROD-000139,ChefMaster Home Decor Standard 566,Home & Kitchen,Home Decor,ChefMaster,190.25,314.59
PROD-000140,PureCraft Storage Max 428,Home & Kitchen,Storage,PureCraft,16.66,24.4
PROD-000141,ChefMaster Storage Max 204,Home & Kitchen,Storage,ChefMaster,99.63,151.82
PROD-000143,PureCraft Home Decor Lite 904,Home & Kitchen,Home Decor,PureCraft,141.24,402.73
PROD-000144,ChefMaster Bedding Lite 182,Home & Kitchen,Bedding,ChefMaster,155.62,424.11
PROD-000145,CozyNest Cookware Plus 173,Home & Kitchen,Cookware,CozyNest,177.21,278.44
PROD-000146,PureCraft Home Decor Pro 224,Home & Kitchen,Home Decor,PureCraft,219.38,487.67
PROD-000147,PureCraft Bedding Max 855,Home & Kitchen,Bedding,PureCraft,313.47,497.34
PROD-000148,ArtisanLiving Cookware Standard 313,Home & Kitchen,Cookware,ArtisanLiving,112.75,244.31
PROD-000149,CozyNest Home Decor Max 744,Home & Kitchen,Home Decor,CozyNest,161.76,368.18
PROD-000150,ArtisanLiving Storage Pro 359,Home & Kitchen,Storage,ArtisanLiving,147.9,248.39
PROD-000152,CozyNest Bedding Pro 271,Home & Kitchen,Bedding,CozyNest,198.28,400.27
PROD-000153,LuminaHome Bedding Pro 143,Home & Kitchen,Bedding,LuminaHome,136.01,296.81
PROD-000154,LuminaHome Storage Lite 889,Home & Kitchen,Storage,LuminaHome,37.65,58.39
PROD-000155,ArtisanLiving Cookware Lite 877,Home & Kitchen,Cookware,ArtisanLiving,216.07,318.18
PROD-000156,ArtisanLiving Small Appliances Pro 228,Home & Kitchen,Small Appliances,ArtisanLiving,148.22,251.59
PROD-000157,CozyNest Storage Plus 850,Home & Kitchen,Storage,CozyNest,49.81,108.58
PROD-000158,LuminaHome Home Decor Lite 140,Home & Kitchen,Home Decor,LuminaHome,136.92,250.36
PROD-000159,ArtisanLiving Home Decor Standard 601,Home & Kitchen,Home Decor,ArtisanLiving,67.93,107.03
PROD-000160,CozyNest Home Decor Standard 579,Home & Kitchen,Home Decor,CozyNest,60.75,148.52
PROD-000161,LuminaHome Storage Pro 643,Home & Kitchen,Storage,LuminaHome,53.79,90.18
PROD-000162,ArtisanLiving Home Decor Lite 564,Home & Kitchen,Home Decor,ArtisanLiving,7.31,15.34
PROD-000163,LuminaHome Bedding Pro 734,Home & Kitchen,Bedding,LuminaHome,184.45,430.55
PROD-000164,CozyNest Small Appliances Standard 164,Home & Kitchen,Small Appliances,CozyNest,170.93,334.26
PROD-000165,LuminaHome Bedding Ultra 799,Home & Kitchen,Bedding,LuminaHome,129.94,256.3
PROD-000166,CozyNest Storage Lite 519,Home & Kitchen,Storage,CozyNest,215.48,325.83
PROD-000167,ChefMaster Storage Pro 955,Home & Kitchen,Storage,ChefMaster,299.5,469.82
PROD-000168,LuminaHome Cookware Pro 597,Home & Kitchen,Cookware,LuminaHome,74.34,107.92
PROD-000169,PureCraft Bedding Ultra 738,Home & Kitchen,Bedding,PureCraft,216.78,355.13
PROD-000171,PureCraft Small Appliances Pro 579,Home & Kitchen,Small Appliances,PureCraft,273.86,403.48
PROD-000172,PureCraft Storage Lite 913,Home & Kitchen,Storage,PureCraft,147.64,358.58
PROD-000173,ArtisanLiving Home Decor Pro 851,Home & Kitchen,Home Decor,ArtisanLiving,29.17,49.13
PROD-000174,ArtisanLiving Small Appliances Pro 203,Home & Kitchen,Small Appliances,ArtisanLiving,188.45,366.7
PROD-000175,LuminaHome Small Appliances Ultra 772,Home & Kitchen,Small Appliances,LuminaHome,65.26,135.64
PROD-000176,ArtisanLiving Small Appliances Standard 671,Home & Kitchen,Small Appliances,ArtisanLiving,143.46,216.35
PROD-000177,CozyNest Storage Standard 569,Home & Kitchen,Storage,CozyNest,195.84,355.73
PROD-000178,LuminaHome Cookware Max 663,Home & Kitchen,Cookware,LuminaHome,122.05,209.75
PROD-000179,ArtisanLiving Small Appliances Ultra 553,Home & Kitchen,Small Appliances,ArtisanLiving,179.68,467.75
PROD-000180,CozyNest Storage Lite 522,Home & Kitchen,Storage,CozyNest,211.82,385.62
PROD-000181,ArtisanLiving Home Decor Max 676,Home & Kitchen,General Accessories,ArtisanLiving,159.03,279.62
PROD-000182,CozyNest Storage Lite 563,Home & Kitchen,Storage,CozyNest,130.17,232.03
PROD-000184,ChefMaster Home Decor Lite 327,Home & Kitchen,Home Decor,ChefMaster,70.29,119.18
PROD-000185,ArtisanLiving Home Decor Ultra 669,Home & Kitchen,Home Decor,ArtisanLiving,145.86,291.76
PROD-000186,ChefMaster Cookware Plus 464,Home & Kitchen,Cookware,ChefMaster,55.08,90.7
PROD-000187,LuminaHome Storage Max 362,Home & Kitchen,Storage,LuminaHome,272.72,408.36
PROD-000188,ArtisanLiving Bedding Max 851,Home & Kitchen,Bedding,ArtisanLiving,30.74,52.43
PROD-000189,LuminaHome Bedding Plus 945,Home & Kitchen,Bedding,LuminaHome,204.76,451.02
PROD-000190,ArtisanLiving Cookware Standard 407,Home & Kitchen,Cookware,ArtisanLiving,13.81,33.12
PROD-000191,ChefMaster Bedding Pro 889,Home & Kitchen,Bedding,ChefMaster,69.46,177.17
PROD-000192,PureCraft Bedding Pro 990,Home & Kitchen,Bedding,PureCraft,170.34,388.63
PROD-000193,ChefMaster Storage Standard 896,Home & Kitchen,Storage,ChefMaster,219.03,321.6
PROD-000194,ChefMaster Storage Lite 652,Home & Kitchen,Storage,ChefMaster,169.22,288.97
PROD-000195,LuminaHome Small Appliances Pro 789,Home & Kitchen,Small Appliances,LuminaHome,208.01,369.81
PROD-000196,ArtisanLiving Bedding Ultra 616,Home & Kitchen,Bedding,ArtisanLiving,32.2,58.68
PROD-000197,LuminaHome Bedding Max 444,Home & Kitchen,Bedding,LuminaHome,27.51,55.02
PROD-000198,ArtisanLiving Cookware Plus 368,Home & Kitchen,Cookware,ArtisanLiving,29.5,56.25
PROD-000199,LuminaHome Small Appliances Plus 672,Home & Kitchen,Small Appliances,LuminaHome,62.38,111.07
PROD-000200,LuminaHome Storage Ultra 730,Home & Kitchen,Storage,LuminaHome,257.52,498.57
PROD-000201,ChefMaster Small Appliances Lite 895,Home & Kitchen,Small Appliances,ChefMaster,102.92,223.57
PROD-000202,ChefMaster Storage Pro 787,Home & Kitchen,Storage,ChefMaster,123.35,215.58
PROD-000203,CozyNest Small Appliances Lite 708,Home & Kitchen,Small Appliances,CozyNest,143.33,332.86
PROD-000204,CozyNest Small Appliances Ultra 941,Home & Kitchen,Small Appliances,CozyNest,270.01,495.22
PROD-000205,PureCraft Small Appliances Pro 937,Home & Kitchen,Small Appliances,PureCraft,59.0,128.23
PROD-000206,ChefMaster Small Appliances Pro 857,Home & Kitchen,Small Appliances,ChefMaster,15.24,41.44
PROD-000207,CozyNest Small Appliances Pro 451,Home & Kitchen,Small Appliances,CozyNest,232.35,351.48
PROD-000208,PureCraft Bedding Pro 439,Home & Kitchen,Bedding,PureCraft,59.54,116.36
PROD-000209,ArtisanLiving Small Appliances Ultra 868,Home & Kitchen,Small Appliances,ArtisanLiving,74.57,140.44
PROD-000210,ChefMaster Small Appliances Plus 696,Home & Kitchen,Small Appliances,ChefMaster,234.31,454.42
PROD-000212,ChefMaster Home Decor Plus 770,Home & Kitchen,Home Decor,ChefMaster,320.35,473.4
PROD-000213,CozyNest Home Decor Pro 119,Home & Kitchen,Home Decor,CozyNest,61.3,156.85
PROD-000214,LuminaHome Bedding Plus 620,Home & Kitchen,Bedding,LuminaHome,325.02,488.65
PROD-000215,PureCraft Home Decor Ultra 644,Home & Kitchen,Home Decor,PureCraft,36.36,57.68
PROD-000216,ArtisanLiving Bedding Standard 122,Home & Kitchen,Bedding,ArtisanLiving,12.93,34.27
PROD-000217,CozyNest Home Decor Plus 502,Home & Kitchen,Home Decor,CozyNest,260.8,376.02
PROD-000218,CozyNest Home Decor Standard 409,Home & Kitchen,Home Decor,CozyNest,46.33,129.55
PROD-000219,CozyNest Storage Pro 740,Home & Kitchen,Storage,CozyNest,79.01,139.96
PROD-000220,ArtisanLiving Cookware Lite 330,Home & Kitchen,Cookware,ArtisanLiving,34.19,88.57
PROD-000221,UrbanStitch Women's Wear Standard 491,Apparel & Footwear,Women's Wear,UrbanStitch,63.01,136.17
PROD-000222,NordicThread Women's Wear Max 686,Apparel & Footwear,Women's Wear,NordicThread,17.58,48.78
PROD-000223,VerveFit Fashion Accessories Plus 655,Apparel & Footwear,Fashion Accessories,VerveFit,20.65,43.79
PROD-000224,ZenithAttire Fashion Accessories Standard 919,Apparel & Footwear,Fashion Accessories,ZenithAttire,39.46,60.55
PROD-000225,AeroStyle Fashion Accessories Plus 888,Apparel & Footwear,Fashion Accessories,AeroStyle,17.54,46.97
PROD-000227,VerveFit Women's Wear Max 844,Apparel & Footwear,Women's Wear,VerveFit,11.47,19.5
PROD-000228,NordicThread Outerwear Lite 553,Apparel & Footwear,Outerwear,NordicThread,78.18,189.57
PROD-000229,AeroStyle Athletic Shoes Max 209,Apparel & Footwear,Athletic Shoes,AeroStyle,30.22,43.74
PROD-000230,ZenithAttire Fashion Accessories Lite 720,Apparel & Footwear,Fashion Accessories,ZenithAttire,91.12,147.17
PROD-000231,AeroStyle Women's Wear Standard 126,Apparel & Footwear,Women's Wear,AeroStyle,44.91,97.82
PROD-000232,AeroStyle Outerwear Ultra 966,Apparel & Footwear,Outerwear,AeroStyle,70.37,156.11
PROD-000233,AeroStyle Athletic Shoes Plus 603,Apparel & Footwear,Athletic Shoes,AeroStyle,80.35,125.03
PROD-000234,UrbanStitch Women's Wear Plus 882,Apparel & Footwear,Women's Wear,UrbanStitch,91.23,242.58
PROD-000235,AeroStyle Outerwear Standard 787,Apparel & Footwear,Outerwear,AeroStyle,107.48,247.2
PROD-000236,AeroStyle Men's Wear Plus 987,Apparel & Footwear,Men's Wear,AeroStyle,73.04,159.05
PROD-000237,AeroStyle Outerwear Plus 514,Apparel & Footwear,Outerwear,AeroStyle,95.91,196.84
PROD-000238,VerveFit Outerwear Plus 726,Apparel & Footwear,Outerwear,VerveFit,117.73,235.54
PROD-000239,ZenithAttire Fashion Accessories Standard 996,Apparel & Footwear,Fashion Accessories,ZenithAttire,123.38,179.72
PROD-000240,NordicThread Men's Wear Plus 946,Apparel & Footwear,Men's Wear,NordicThread,86.79,220.96
PROD-000241,ZenithAttire Women's Wear Ultra 505,Apparel & Footwear,Women's Wear,ZenithAttire,168.92,246.15
PROD-000242,ZenithAttire Outerwear Standard 150,Apparel & Footwear,Outerwear,ZenithAttire,31.45,57.59
PROD-000243,VerveFit Athletic Shoes Plus 270,Apparel & Footwear,Athletic Shoes,VerveFit,54.77,112.83
PROD-000244,ZenithAttire Men's Wear Max 574,Apparel & Footwear,Men's Wear,ZenithAttire,113.58,209.59
PROD-000246,AeroStyle Fashion Accessories Plus 523,Apparel & Footwear,Fashion Accessories,AeroStyle,61.75,89.32
PROD-000247,ZenithAttire Outerwear Standard 306,Apparel & Footwear,Outerwear,ZenithAttire,148.46,222.1
PROD-000248,AeroStyle Athletic Shoes Standard 850,Apparel & Footwear,Athletic Shoes,AeroStyle,27.62,41.84
PROD-000249,VerveFit Outerwear Pro 636,Apparel & Footwear,Outerwear,VerveFit,80.42,180.47
PROD-000250,ZenithAttire Fashion Accessories Max 487,Apparel & Footwear,Fashion Accessories,ZenithAttire,98.04,143.2
PROD-000251,VerveFit Women's Wear Ultra 992,Apparel & Footwear,Women's Wear,VerveFit,109.51,169.13
PROD-000252,AeroStyle Women's Wear Standard 152,Apparel & Footwear,Women's Wear,AeroStyle,66.36,112.15
PROD-000253,VerveFit Outerwear Standard 285,Apparel & Footwear,Outerwear,VerveFit,26.43,40.42
PROD-000254,UrbanStitch Women's Wear Ultra 883,Apparel & Footwear,Women's Wear,UrbanStitch,39.17,72.61
PROD-000255,ZenithAttire Outerwear Pro 722,Apparel & Footwear,Outerwear,ZenithAttire,137.0,222.13
PROD-000256,NordicThread Fashion Accessories Plus 519,Apparel & Footwear,Fashion Accessories,NordicThread,57.5,117.44
PROD-000257,AeroStyle Men's Wear Ultra 384,Apparel & Footwear,Men's Wear,AeroStyle,80.62,159.69
PROD-000258,UrbanStitch Women's Wear Max 251,Apparel & Footwear,Women's Wear,UrbanStitch,14.78,25.58
PROD-000259,UrbanStitch Women's Wear Standard 691,Apparel & Footwear,General Accessories,UrbanStitch,125.97,211.52
PROD-000260,UrbanStitch Men's Wear Pro 526,Apparel & Footwear,Men's Wear,UrbanStitch,159.92,248.5
PROD-000261,ZenithAttire Athletic Shoes Standard 808,Apparel & Footwear,Athletic Shoes,ZenithAttire,89.3,178.71
PROD-000262,AeroStyle Fashion Accessories Plus 867,Apparel & Footwear,Fashion Accessories,AeroStyle,56.1,150.0
PROD-000263,VerveFit Men's Wear Lite 477,Apparel & Footwear,Men's Wear,VerveFit,93.17,225.65
PROD-000264,ZenithAttire Outerwear Pro 399,Apparel & Footwear,Outerwear,ZenithAttire,81.71,124.31
PROD-000265,VerveFit Athletic Shoes Ultra 523,Apparel & Footwear,General Accessories,VerveFit,62.58,137.1
PROD-000266,UrbanStitch Fashion Accessories Pro 685,Apparel & Footwear,Fashion Accessories,UrbanStitch,89.16,185.8
PROD-000267,NordicThread Men's Wear Standard 805,Apparel & Footwear,Men's Wear,NordicThread,66.22,156.13
PROD-000269,VerveFit Fashion Accessories Max 729,Apparel & Footwear,Fashion Accessories,VerveFit,75.71,146.12
PROD-000270,NordicThread Outerwear Max 724,Apparel & Footwear,Outerwear,NordicThread,40.55,67.77
PROD-000271,UrbanStitch Women's Wear Pro 124,Apparel & Footwear,Women's Wear,UrbanStitch,51.76,122.91
PROD-000272,ZenithAttire Women's Wear Plus 523,Apparel & Footwear,Women's Wear,ZenithAttire,13.46,23.3
