line_key,order_key,product_key,quantity,unit_price,discount_pct,line_total_usd
LINE-0000033,ORD-000014,PROD-000148,1,244.31,0.05,232.09
LINE-0000034,ORD-000014,PROD-000017,1,144.94,0.25,108.7
LINE-0000035,ORD-000015,PROD-000507,1,185.8,0.25,139.35
LINE-0000036,ORD-000015,PROD-000416,1,61.55,0.15,52.32
LINE-0000037,ORD-000015,PROD-000486,1,109.38,0.05,103.91
LINE-0000038,ORD-000016,PROD-000136,1,53.41,0.0,53.41
LINE-0000039,ORD-000016,PROD-000433,1,39.75,0.0,39.75
LINE-0000040,ORD-000016,PROD-000053,1,775.98,0.1,698.38
LINE-0000041,ORD-000016,PROD-000257,1,159.69,0.15,135.74
LINE-0000042,ORD-000017,PROD-000366,3,117.71,0.25,264.85
LINE-0000043,ORD-000018,PROD-000451,2,39.64,0.25,59.46
LINE-0000044,ORD-000018,PROD-000081,1,429.22,0.0,429.22
LINE-0000045,ORD-000018,PROD-000309,2,159.95,0.25,239.92
LINE-0000046,ORD-000018,PROD-000371,3,86.7,0.0,260.1
LINE-0000048,ORD-000019,PROD-000203,1,332.86,0.0,332.86
LINE-0000049,ORD-000019,PROD-000325,1,111.59,0.0,111.59
LINE-0000050,ORD-000020,PROD-000284,1,68.94,0.0,68.94
LINE-0000051,ORD-000020,PROD-000063,2,194.38,0.05,369.32
LINE-0000052,ORD-000021,PROD-000025,5,384.33,0.15,1633.4
LINE-0000053,ORD-000021,PROD-000468,1,82.53,0.25,61.9
LINE-0000054,ORD-000021,PROD-000421,2,18.21,0.15,30.96
LINE-0000055,ORD-000022,PROD-000299,1,105.58,0.0,105.58
LINE-0000056,ORD-000022,PROD-000384,2,73.3,0.25,109.95
LINE-0000057,ORD-000022,PROD-000053,2,775.98,0.25,1163.97
LINE-0000058,ORD-000023,PROD-000535,1,195.07,0.0,195.07
LINE-0000059,ORD-000023,PROD-000038,1,715.11,0.2,572.09
LINE-0000060,ORD-000023,PROD-000527,2,75.57,0.15,128.47
LINE-0000061,ORD-000023,PROD-000070,5,520.88,0.25,1953.3
LINE-0000062,ORD-000024,PROD-000150,1,248.39,0.0,248.39
LINE-0000063,ORD-000024,PROD-000148,1,244.31,0.2,195.45
LINE-0000064,ORD-000024,PROD-000206,1,41.44,0.1,37.3
LINE-0000065,ORD-000025,PROD-000231,2,97.82,0.0,195.64
LINE-0000066,ORD-000025,PROD-000043,2,29.75,0.0,59.5
LINE-0000067,ORD-000025,PROD-000046,2,187.73,0.05,356.69
LINE-0000068,ORD-000025,PROD-000318,2,220.88,0.2,353.41
LINE-0000069,ORD-000026,PROD-000435,3,77.92,0.2,187.01
LINE-0000070,ORD-000026,PROD-000159,3,107.03,0.1,288.98
LINE-0000071,ORD-000027,PROD-000001,1,487.03,0.0,487.03
LINE-0000072,ORD-000027,PROD-000069,2,1054.97,0.0,2109.94
LINE-0000073,ORD-000028,PROD-000503,1,87.37,0.25,65.53
LINE-0000074,ORD-000028,PROD-000069,1,1054.97,0.0,1054.97
LINE-0000075,ORD-000028,PROD-000230,4,147.17,0.25,441.51
LINE-0000076,ORD-000029,PROD-000083,2,764.68,0.25,1147.02
LINE-0000077,ORD-000030,PROD-000389,5,99.07,0.15,421.05
LINE-0000078,ORD-000030,PROD-000489,1,157.18,0.15,133.6
LINE-0000079,ORD-000030,PROD-000271,1,122.91,0.0,122.91
LINE-0000083,ORD-000032,PROD-000530,1,17.09,0.2,13.67
LINE-0000084,ORD-000032,PROD-000315,1,165.68,0.0,165.68
LINE-0000085,ORD-000032,PROD-000519,4,69.76,0.1,251.14
LINE-0000086,ORD-000033,PROD-000112,1,330.17,0.05,313.66
LINE-0000087,ORD-000033,PROD-000155,1,318.18,0.05,302.27
LINE-0000088,ORD-000033,PROD-000234,2,242.58,0.25,363.87
LINE-0000089,ORD-000034,PROD-000103,1,612.87,0.15,520.94
LINE-0000090,ORD-000034,PROD-000526,4,15.1,0.2,48.32
LINE-0000091,ORD-000035,PROD-000437,2,39.62,0.05,75.28
LINE-0000092,ORD-000035,PROD-000347,1,27.56,0.0,27.56
LINE-0000093,ORD-000035,PROD-000314,2,154.58,0.25,231.87
LINE-0000094,ORD-000035,PROD-000085,2,735.76,0.0,1471.52
LINE-0000095,ORD-000036,PROD-000059,2,1314.73,0.2,2103.57
LINE-0000096,ORD-000036,PROD-000454,3,149.0,0.0,447.0
LINE-0000097,ORD-000036,PROD-000423,2,42.83,0.2,68.53
LINE-0000098,ORD-000037,PROD-000032,2,239.97,0.1,431.95
LINE-0000099,ORD-000037,PROD-000349,1,42.44,0.05,40.32
LINE-0000100,ORD-000037,PROD-000387,2,76.84,0.25,115.26
LINE-0000101,ORD-000037,PROD-000124,4,372.72,0.25,1118.16
LINE-0000102,ORD-000038,PROD-000224,2,60.55,0.1,108.99
LINE-0000103,ORD-000038,PROD-000423,2,42.83,0.05,81.38
LINE-0000104,ORD-000038,PROD-000448,1,45.04,0.0,45.04
LINE-0000105,ORD-000038,PROD-000246,2,89.32,0.15,151.84
LINE-0000106,ORD-000039,PROD-000342,5,40.18,0.0,200.9
LINE-0000107,ORD-000039,PROD-000393,1,20.09,0.0,20.09
LINE-0000109,ORD-000041,PROD-000446,1,194.9,0.0,194.9
LINE-0000110,ORD-000041,PROD-000513,1,129.38,0.0,129.38
LINE-0000111,ORD-000042,PROD-000003,2,266.03,0.25,399.04
LINE-0000113,ORD-000043,PROD-000139,1,314.59,0.15,267.4
LINE-0000117,ORD-000045,PROD-000086,2,1346.85,0.0,2693.7
LINE-0000118,ORD-000046,PROD-000201,2,223.57,0.0,447.14
LINE-0000119,ORD-000047,PROD-000511,2,124.59,0.0,249.18
LINE-0000120,ORD-000047,PROD-000113,2,262.56,0.1,472.61
LINE-0000121,ORD-000047,PROD-000281,1,212.17,0.0,212.17
LINE-0000122,ORD-000047,PROD-000306,2,194.88,0.0,389.76
LINE-0000123,ORD-000048,PROD-000273,1,176.37,0.25,132.28
LINE-0000124,ORD-000048,PROD-000165,1,256.3,0.05,243.48
LINE-0000125,ORD-000048,PROD-000536,1,19.02,0.1,17.12
LINE-0000126,ORD-000048,PROD-000101,3,831.86,0.0,2495.58
LINE-0000132,ORD-000050,PROD-000324,3,53.68,0.25,120.78
LINE-0000133,ORD-000050,PROD-000342,2,40.18,0.0,80.36
LINE-0000134,ORD-000050,PROD-000220,2,88.57,0.0,177.14
LINE-0000135,ORD-000051,PROD-000083,1,764.68,0.0,764.68
LINE-0000136,ORD-000052,PROD-000155,1,318.18,0.0,318.18
LINE-0000137,ORD-000053,PROD-000132,3,274.51,0.15,700.0
LINE-0000138,ORD-000053,PROD-000156,2,251.59,0.15,427.7
LINE-0000139,ORD-000053,PROD-000077,1,73.36,0.05,69.69
LINE-0000140,ORD-000053,PROD-000297,1,224.4,0.25,168.3
LINE-0000142,ORD-000054,PROD-000128,1,321.05,0.0,321.05
LINE-0000143,ORD-000054,PROD-000317,1,81.73,0.15,69.47
LINE-0000144,ORD-000054,PROD-000219,1,139.96,0.0,139.96
LINE-0000149,ORD-000056,PROD-000483,1,141.02,0.0,141.02
LINE-0000151,ORD-000056,PROD-000339,1,71.56,0.2,57.25
LINE-0000152,ORD-000056,PROD-000469,2,103.87,0.15,176.58
LINE-0000153,ORD-000057,PROD-000008,3,660.87,0.1,1784.35
LINE-0000155,ORD-000058,PROD-000507,2,185.8,0.15,315.86
LINE-0000156,ORD-000059,PROD-000044,4,781.51,0.05,2969.74
LINE-0000157,ORD-000059,PROD-000146,1,487.67,0.25,365.75
LINE-0000158,ORD-000060,PROD-000212,1,473.4,0.0,473.4
LINE-0000159,ORD-000060,PROD-000189,4,451.02,0.0,1804.08
LINE-0000160,ORD-000060,PROD-000435,3,77.92,0.15,198.7
LINE-0000161,ORD-000061,PROD-000389,1,99.07,0.0,99.07
LINE-0000162,ORD-000061,PROD-000353,2,110.89,0.25,166.34
LINE-0000163,ORD-000061,PROD-000003,1,266.03,0.05,252.73
LINE-0000166,ORD-000063,PROD-000453,1,161.91,0.25,121.43
LINE-0000167,ORD-000063,PROD-000041,2,1349.37,0.1,2428.87
LINE-0000168,ORD-000064,PROD-000046,4,187.73,0.2,600.74
LINE-0000169,ORD-000064,PROD-000299,3,105.58,0.0,316.74
LINE-0000171,ORD-000064,PROD-000019,1,1013.04,0.2,810.43
LINE-0000172,ORD-000065,PROD-000242,4,57.59,0.1,207.32
LINE-0000173,ORD-000065,PROD-000330,4,186.08,0.1,669.89
LINE-0000175,ORD-000065,PROD-000469,2,103.87,0.05,197.35
LINE-0000176,ORD-000066,PROD-000412,1,12.55,0.05,11.92
LINE-0000178,ORD-000066,PROD-000005,1,247.55,0.05,235.17
LINE-0000183,ORD-000068,PROD-000522,1,103.2,0.1,92.88
LINE-0000184,ORD-000069,PROD-000517,1,104.59,0.05,99.36
LINE-0000185,ORD-000070,PROD-000121,1,64.95,0.15,55.21
LINE-0000186,ORD-000070,PROD-000246,1,89.32,0.0,89.32
LINE-0000187,ORD-000070,PROD-000406,2,21.87,0.05,41.55
LINE-0000188,ORD-000071,PROD-000447,1,17.81,0.0,17.81
LINE-0000189,ORD-000072,PROD-000257,2,159.69,0.0,319.38
LINE-0000190,ORD-000072,PROD-000500,4,98.51,0.0,394.04
LINE-0000191,ORD-000072,PROD-000022,1,990.09,0.1,891.08
LINE-0000192,ORD-000073,PROD-000307,4,206.66,0.2,661.31
LINE-0000193,ORD-000073,PROD-000270,4,67.77,0.0,271.08
LINE-0000194,ORD-000074,PROD-000213,3,156.85,0.1,423.49
LINE-0000195,ORD-000074,PROD-000171,2,403.48,0.1,726.26
LINE-0000196,ORD-000074,PROD-000378,2,52.29,0.0,104.58
LINE-0000197,ORD-000074,PROD-000102,2,292.18,0.0,584.36
LINE-0000198,ORD-000075,PROD-000127,2,485.22,0.05,921.92
LINE-0000199,ORD-000075,PROD-000004,1,815.87,0.0,815.87
LINE-0000200,ORD-000076,PROD-000188,4,52.43,0.15,178.26
LINE-0000201,ORD-000076,PROD-000119,2,96.14,0.0,192.28
LINE-0000202,ORD-000076,PROD-000471,2,179.6,0.25,269.4
LINE-0000203,ORD-000077,PROD-000501,1,115.85,0.1,104.26
LINE-0000204,ORD-000078,PROD-000372,1,113.32,0.0,113.32
LINE-0000205,ORD-000079,PROD-000185,1,291.76,0.1,262.58
LINE-0000207,ORD-000079,PROD-000198,1,56.25,0.0,56.25
LINE-0000209,ORD-000081,PROD-000168,1,107.92,0.25,80.94
LINE-0000210,ORD-000081,PROD-000543,1,192.79,0.15,163.87
LINE-0000211,ORD-000081,PROD-000203,1,332.86,0.0,332.86
LINE-0000212,ORD-000082,PROD-000406,5,21.87,0.2,87.48
LINE-0000213,ORD-000082,PROD-000450,1,184.87,0.05,175.63
LINE-0000214,ORD-000082,PROD-000109,1,952.19,0.0,952.19
LINE-0000215,ORD-000083,PROD-000504,1,162.45,0.05,154.33
LINE-0000216,ORD-000083,PROD-000070,1,520.88,0.25,390.66
LINE-0000217,ORD-000084,PROD-000404,1,36.89,0.0,36.89
LINE-0000218,ORD-000084,PROD-000337,2,109.56,0.0,219.12
LINE-0000219,ORD-000084,PROD-000385,4,11.11,0.25,33.33
LINE-0000223,ORD-000086,PROD-000433,1,39.75,0.25,29.81
LINE-0000224,ORD-000086,PROD-000008,1,660.87,0.0,660.87
LINE-0000225,ORD-000087,PROD-000101,1,831.86,0.0,831.86
LINE-0000226,ORD-000087,PROD-000542,2,143.62,0.0,287.24
LINE-0000228,ORD-000088,PROD-000356,2,85.61,0.05,162.66
LINE-0000229,ORD-000088,PROD-000125,1,97.73,0.1,87.96
LINE-0000231,ORD-000089,PROD-000040,1,863.83,0.1,777.45
LINE-0000232,ORD-000089,PROD-000112,1,330.17,0.0,330.17
LINE-0000233,ORD-000089,PROD-000057,1,1133.52,0.1,1020.17
LINE-0000234,ORD-000090,PROD-000160,2,148.52,0.0,297.04
LINE-0000235,ORD-000090,PROD-000295,5,61.56,0.15,261.63
LINE-0000236,ORD-000090,PROD-000356,1,85.61,0.0,85.61
LINE-0000237,ORD-000090,PROD-000429,2,49.57,0.25,74.36
LINE-0000238,ORD-000091,PROD-000315,2,165.68,0.0,331.36
LINE-0000239,ORD-000091,PROD-000424,3,60.47,0.1,163.27
LINE-0000240,ORD-000091,PROD-000024,1,858.95,0.15,730.11
LINE-0000241,ORD-000092,PROD-000098,2,68.18,0.0,136.36
LINE-0000242,ORD-000092,PROD-000143,2,402.73,0.15,684.64
LINE-0000243,ORD-000093,PROD-000100,3,581.54,0.1,1570.16
LINE-0000244,ORD-000094,PROD-000333,1,67.42,0.05,64.05
LINE-0000245,ORD-000094,PROD-000129,4,325.16,0.0,1300.64
LINE-0000246,ORD-000094,PROD-000192,1,388.63,0.05,369.2
LINE-0000247,ORD-000095,PROD-000291,3,223.67,0.1,603.91
LINE-0000248,ORD-000096,PROD-000312,1,148.86,0.1,133.97
LINE-0000249,ORD-000097,PROD-000421,1,18.21,0.0,18.21
LINE-0000250,ORD-000098,PROD-000438,1,114.67,0.1,103.2
LINE-0000251,ORD-000098,PROD-000098,1,68.18,0.0,68.18
LINE-0000252,ORD-000098,PROD-000349,1,42.44,0.0,42.44
LINE-0000253,ORD-000099,PROD-000099,1,786.93,0.0,786.93
LINE-0000255,ORD-000101,PROD-000377,1,28.59,0.0,28.59
LINE-0000256,ORD-000101,PROD-000423,2,42.83,0.05,81.38
LINE-0000257,ORD-000101,PROD-000112,3,330.17,0.0,990.51
LINE-0000258,ORD-000101,PROD-000278,2,198.69,0.15,337.77
LINE-0000259,ORD-000102,PROD-000194,1,288.97,0.0,288.97
LINE-0000260,ORD-000102,PROD-000109,1,952.19,0.25,714.14
LINE-0000261,ORD-000103,PROD-000132,4,274.51,0.05,1043.14
LINE-0000262,ORD-000103,PROD-000177,1,355.73,0.2,284.58
LINE-0000263,ORD-000104,PROD-000544,1,163.69,0.1,147.32
LINE-0000264,ORD-000105,PROD-000513,4,129.38,0.0,517.52
LINE-0000265,ORD-000105,PROD-000249,4,180.47,0.2,577.5
LINE-0000266,ORD-000106,PROD-000405,1,14.81,0.1,13.33
LINE-0000267,ORD-000106,PROD-000202,2,215.58,0.15,366.49
LINE-0000270,ORD-000108,PROD-000130,1,405.27,0.1,364.74
LINE-0000271,ORD-000108,PROD-000438,1,114.67,0.25,86.0
LINE-0000272,ORD-000109,PROD-000120,2,471.1,0.2,753.76
LINE-0000273,ORD-000110,PROD-000265,1,137.1,0.0,137.1
LINE-0000274,ORD-000110,PROD-000134,2,196.21,0.0,392.42
LINE-0000275,ORD-000111,PROD-000138,1,428.93,0.05,407.48
LINE-0000276,ORD-000111,PROD-000042,3,620.64,0.05,1768.82
LINE-0000277,ORD-000112,PROD-000075,3,669.67,0.2,1607.21
LINE-0000278,ORD-000113,PROD-000229,1,43.74,0.0,43.74
LINE-0000279,ORD-000113,PROD-000291,2,223.67,0.0,447.34
LINE-0000280,ORD-000114,PROD-000116,1,454.92,0.2,363.94
LINE-0000281,ORD-000114,PROD-000015,1,841.49,0.0,841.49
LINE-0000282,ORD-000115,PROD-000216,1,34.27,0.0,34.27
LINE-0000283,ORD-000115,PROD-000465,3,109.8,0.0,329.4
LINE-0000284,ORD-000115,PROD-000150,3,248.39,0.15,633.39
LINE-0000285,ORD-000116,PROD-000428,4,112.47,0.1,404.89
LINE-0000286,ORD-000116,PROD-000395,3,81.33,0.25,182.99
LINE-0000287,ORD-000116,PROD-000540,4,136.05,0.05,516.99
LINE-0000288,ORD-000117,PROD-000216,1,34.27,0.15,29.13
LINE-0000289,ORD-000117,PROD-000406,4,21.87,0.05,83.11
LINE-0000290,ORD-000118,PROD-000510,2,159.99,0.1,287.98
LINE-0000291,ORD-000118,PROD-000509,1,90.68,0.2,72.54
LINE-0000298,ORD-000122,PROD-000294,3,49.9,0.0,149.7
LINE-0000299,ORD-000122,PROD-000186,2,90.7,0.25,136.05
LINE-0000300,ORD-000122,PROD-000444,1,80.65,0.0,80.65
LINE-0000301,ORD-000123,PROD-000364,1,17.2,0.05,16.34
LINE-0000302,ORD-000123,PROD-000318,1,220.88,0.1,198.79
LINE-0000303,ORD-000123,PROD-000235,1,247.2,0.25,185.4
LINE-0000304,ORD-000123,PROD-000469,3,103.87,0.2,249.29
LINE-0000305,ORD-000124,PROD-000168,1,107.92,0.25,80.94
LINE-0000306,ORD-000124,PROD-000500,2,98.51,0.0,197.02
LINE-0000307,ORD-000124,PROD-000231,2,97.82,0.0,195.64
LINE-0000308,ORD-000125,PROD-000506,2,26.14,0.05,49.67
LINE-0000309,ORD-000125,PROD-000401,3,78.53,0.0,235.59
LINE-0000310,ORD-000126,PROD-000282,1,156.35,0.15,132.9
LINE-0000311,ORD-000127,PROD-000104,3,358.27,0.1,967.33
LINE-0000312,ORD-000127,PROD-000286,2,132.67,0.2,212.27
LINE-0000313,ORD-000127,PROD-000537,2,192.0,0.0,384.0
LINE-0000314,ORD-000128,PROD-000112,2,330.17,0.05,627.32
LINE-0000315,ORD-000129,PROD-000264,3,124.31,0.25,279.7
LINE-0000316,ORD-000129,PROD-000256,5,117.44,0.0,587.2
LINE-0000317,ORD-000129,PROD-000192,1,388.63,0.0,388.63
LINE-0000318,ORD-000130,PROD-000343,3,110.01,0.2,264.02
LINE-0000319,ORD-000131,PROD-000002,2,141.86,0.0,283.72
LINE-0000320,ORD-000131,PROD-000501,1,115.85,0.0,115.85
LINE-0000321,ORD-000131,PROD-000203,4,332.86,0.1,1198.3
LINE-0000322,ORD-000132,PROD-000263,1,225.65,0.15,191.8
LINE-0000323,ORD-000132,PROD-000286,2,132.67,0.0,265.34
LINE-0000324,ORD-000132,PROD-000209,1,140.44,0.2,112.35
LINE-0000325,ORD-000132,PROD-000419,1,90.41,0.25,67.81
LINE-0000326,ORD-000133,PROD-000256,3,117.44,0.0,352.32
LINE-0000327,ORD-000133,PROD-000340,1,14.72,0.15,12.51
LINE-0000328,ORD-000134,PROD-000491,1,18.21,0.25,13.66
LINE-0000329,ORD-000134,PROD-000252,1,112.15,0.05,106.54
LINE-0000330,ORD-000134,PROD-000349,1,42.44,0.2,33.95
LINE-0000332,ORD-000136,PROD-000242,3,57.59,0.0,172.77
LINE-0000333,ORD-000136,PROD-000428,1,112.47,0.05,106.85
LINE-0000334,ORD-000137,PROD-000430,2,71.02,0.0,142.04
LINE-0000335,ORD-000137,PROD-000076,1,1180.25,0.05,1121.24
LINE-0000336,ORD-000137,PROD-000108,2,166.47,0.05,316.29
LINE-0000337,ORD-000137,PROD-000459,1,103.18,0.05,98.02
LINE-0000341,ORD-000139,PROD-000469,1,103.87,0.15,88.29
LINE-0000342,ORD-000139,PROD-000219,1,139.96,0.05,132.96
LINE-0000343,ORD-000139,PROD-000098,3,68.18,0.0,204.54
LINE-0000344,ORD-000140,PROD-000262,2,150.0,0.05,285.0
LINE-0000346,ORD-000142,PROD-000007,3,44.74,0.05,127.51
LINE-0000347,ORD-000142,PROD-000510,3,159.99,0.2,383.98
LINE-0000348,ORD-000143,PROD-000105,1,1287.33,0.05,1222.96
LINE-0000349,ORD-000143,PROD-000093,2,935.51,0.1,1683.92
LINE-0000350,ORD-000143,PROD-000524,1,122.29,0.0,122.29
LINE-0000351,ORD-000144,PROD-000365,2,37.65,0.0,75.3
LINE-0000352,ORD-000144,PROD-000373,1,99.15,0.0,99.15
LINE-0000353,ORD-000144,PROD-000472,2,155.29,0.0,310.58
LINE-0000354,ORD-000144,PROD-000172,1,358.58,0.1,322.72
LINE-0000355,ORD-000145,PROD-000180,1,385.62,0.05,366.34
LINE-0000356,ORD-000145,PROD-000164,4,334.26,0.0,1337.04
LINE-0000357,ORD-000146,PROD-000205,1,128.23,0.05,121.82
LINE-0000358,ORD-000146,PROD-000219,3,139.96,0.0,419.88
LINE-0000359,ORD-000147,PROD-000480,5,140.78,0.05,668.7
LINE-0000360,ORD-000147,PROD-000064,3,177.73,0.0,533.19
LINE-0000361,ORD-000147,PROD-000469,1,103.87,0.0,103.87
LINE-0000363,ORD-000149,PROD-000450,1,184.87,0.0,184.87
LINE-0000364,ORD-000149,PROD-000161,1,90.18,0.25,67.64
LINE-0000365,ORD-000149,PROD-000066,3,1137.35,0.2,2729.64
LINE-0000366,ORD-000150,PROD-000179,2,467.75,0.15,795.18
LINE-0000367,ORD-000151,PROD-000184,1,119.18,0.2,95.34
LINE-0000368,ORD-000152,PROD-000088,1,1434.05,0.0,1434.05
LINE-0000369,ORD-000153,PROD-000076,3,1180.25,0.2,2832.6
LINE-0000370,ORD-000153,PROD-000161,2,90.18,0.0,180.36
LINE-0000371,ORD-000154,PROD-000240,1,220.96,0.15,187.82
LINE-0000372,ORD-000154,PROD-000174,3,366.7,0.25,825.08
LINE-0000373,ORD-000154,PROD-000280,1,175.3,0.0,175.3
LINE-0000374,ORD-000154,PROD-000541,1,107.91,0.05,102.51
LINE-0000375,ORD-000155,PROD-000443,2,35.06,0.15,59.6
LINE-0000376,ORD-000155,PROD-000180,5,385.62,0.1,1735.29
LINE-0000377,ORD-000155,PROD-000463,1,163.07,0.05,154.92
LINE-0000378,ORD-000155,PROD-000293,1,78.2,0.0,78.2
LINE-0000379,ORD-000156,PROD-000423,1,42.83,0.2,34.26
LINE-0000380,ORD-000156,PROD-000310,3,61.95,0.25,139.39
LINE-0000381,ORD-000157,PROD-000121,1,64.95,0.0,64.95
LINE-0000382,ORD-000158,PROD-000241,1,246.15,0.0,246.15
LINE-0000383,ORD-000159,PROD-000412,5,12.55,0.0,62.75
LINE-0000384,ORD-000159,PROD-000141,1,151.82,0.05,144.23
LINE-0000385,ORD-000159,PROD-000055,2,793.6,0.0,1587.2
LINE-0000386,ORD-000159,PROD-000539,1,75.98,0.05,72.18
LINE-0000387,ORD-000160,PROD-000529,3,175.09,0.0,525.27
LINE-0000388,ORD-000161,PROD-000087,1,586.35,0.0,586.35
LINE-0000389,ORD-000161,PROD-000355,1,35.83,0.1,32.25
LINE-0000392,ORD-000162,PROD-000187,2,408.36,0.25,612.54
LINE-0000393,ORD-000163,PROD-000146,1,487.67,0.0,487.67
LINE-0000394,ORD-000163,PROD-000231,1,97.82,0.0,97.82
LINE-0000395,ORD-000164,PROD-000075,3,669.67,0.25,1506.76
LINE-0000396,ORD-000164,PROD-000440,1,11.44,0.0,11.44
LINE-0000397,ORD-000164,PROD-000084,1,816.09,0.1,734.48
LINE-0000398,ORD-000164,PROD-000337,2,109.56,0.15,186.25
LINE-0000400,ORD-000166,PROD-000025,1,384.33,0.0,384.33
LINE-0000401,ORD-000167,PROD-000338,1,41.69,0.0,41.69
LINE-0000402,ORD-000168,PROD-000086,1,1346.85,0.05,1279.51
LINE-0000403,ORD-000169,PROD-000103,1,612.87,0.0,612.87
LINE-0000404,ORD-000169,PROD-000457,2,158.43,0.0,316.86
LINE-0000405,ORD-000169,PROD-000388,2,75.03,0.15,127.55
LINE-0000406,ORD-000169,PROD-000059,1,1314.73,0.15,1117.52
LINE-0000407,ORD-000170,PROD-000120,3,471.1,0.1,1271.97
LINE-0000408,ORD-000170,PROD-000525,1,15.34,0.0,15.34
LINE-0000409,ORD-000170,PROD-000304,2,178.65,0.0,357.3
LINE-0000410,ORD-000170,PROD-000307,1,206.66,0.0,206.66
LINE-0000411,ORD-000171,PROD-000302,2,175.06,0.0,350.12
LINE-0000412,ORD-000171,PROD-000511,1,124.59,0.0,124.59
LINE-0000413,ORD-000171,PROD-000543,1,192.79,0.1,173.51
LINE-0000414,ORD-000171,PROD-000080,1,1094.68,0.0,1094.68
LINE-0000415,ORD-000172,PROD-000396,1,31.87,0.2,25.5
LINE-0000416,ORD-000172,PROD-000489,1,157.18,0.25,117.88
LINE-0000417,ORD-000172,PROD-000042,2,620.64,0.0,1241.28
LINE-0000418,ORD-000173,PROD-000051,3,917.65,0.0,2752.95
LINE-0000419,ORD-000174,PROD-000257,1,159.69,0.15,135.74
LINE-0000420,ORD-000174,PROD-000394,3,106.63,0.0,319.89
LINE-0000421,ORD-000174,PROD-000361,2,81.85,0.15,139.14
LINE-0000422,ORD-000175,PROD-000157,3,108.58,0.0,325.74
LINE-0000423,ORD-000175,PROD-000422,2,41.82,0.05,79.46
LINE-0000424,ORD-000175,PROD-000394,2,106.63,0.2,170.61
LINE-0000425,ORD-000176,PROD-000283,1,87.19,0.05,82.83
LINE-0000426,ORD-000176,PROD-000532,2,118.36,0.15,201.21
LINE-0000427,ORD-000177,PROD-000051,4,917.65,0.0,3670.6
LINE-0000429,ORD-000177,PROD-000325,1,111.59,0.0,111.59
LINE-0000430,ORD-000178,PROD-000490,1,160.67,0.0,160.67
LINE-0000431,ORD-000179,PROD-000217,4,376.02,0.15,1278.47
LINE-0000432,ORD-000179,PROD-000252,1,112.15,0.0,112.15
LINE-0000433,ORD-000179,PROD-000428,2,112.47,0.0,224.94
LINE-0000434,ORD-000179,PROD-000480,3,140.78,0.0,422.34
LINE-0000435,ORD-000180,PROD-000064,5,177.73,0.1,799.78
LINE-0000436,ORD-000181,PROD-000128,1,321.05,0.2,256.84
LINE-0000437,ORD-000182,PROD-000550,2,116.36,0.1,209.45
LINE-0000438,ORD-000182,PROD-000130,3,405.27,0.1,1094.23
LINE-0000439,ORD-000182,PROD-000006,1,100.31,0.0,100.31
LINE-0000440,ORD-000183,PROD-000519,2,69.76,0.2,111.62
LINE-0000441,ORD-000183,PROD-000260,1,248.5,0.05,236.08
LINE-0000442,ORD-000183,PROD-000537,2,192.0,0.0,384.0
LINE-0000443,ORD-000183,PROD-000203,1,332.86,0.2,266.29
