return_key,order_key,product_key,return_date,return_quantity,return_reason
RET-000039,ORD-000301,PROD-000208,2026-03-20 11:19:00,1,Changed Mind
RET-000040,ORD-000670,PROD-000208,2025-04-24 17:01:00,1,Changed Mind
RET-000042,ORD-001039,PROD-000173,2025-12-16 12:22:00,1,Defective Item
RET-000043,ORD-000720,PROD-000143,2024-03-23 01:41:00,1,Buyer Remorse
RET-000045,ORD-000886,PROD-000499,2026-02-09 00:17:00,1,Defective Item
RET-000046,ORD-000653,PROD-000031,2025-05-27 06:32:00,1,Buyer Remorse
RET-000048,ORD-000114,PROD-000116,2024-12-03 17:25:00,1,Changed Mind
RET-000049,ORD-001002,PROD-000091,2025-09-23 16:11:00,1,Late Delivery
RET-000051,ORD-001162,PROD-000448,2024-05-30 03:51:00,1,Wrong Size
RET-000052,ORD-001208,PROD-000023,2026-02-14 01:56:00,1,Late Delivery
RET-000053,ORD-000963,PROD-000284,2024-08-15 10:25:00,1,Wrong Size
RET-000054,ORD-000105,PROD-000513,2024-07-08 23:23:00,4,Changed Mind
RET-000055,ORD-000354,PROD-000318,2024-03-05 14:31:00,1,Wrong Size
RET-000056,ORD-000705,PROD-000444,2026-06-04 05:06:00,1,Buyer Remorse
RET-000059,ORD-000729,PROD-000438,2024-10-09 10:42:00,1,Defective Item
RET-000060,ORD-001278,PROD-000337,2025-09-16 12:09:00,3,Buyer Remorse
RET-000061,ORD-001154,PROD-000334,2024-05-25 01:38:00,1,Defective Item
RET-000062,ORD-000946,PROD-000036,2025-04-17 11:36:00,1,Wrong Size
RET-000064,ORD-001175,PROD-000095,2026-07-04 14:21:00,4,Buyer Remorse
RET-000065,ORD-000446,PROD-000083,2026-05-10 04:08:00,2,Buyer Remorse
RET-000067,ORD-001228,PROD-000474,2025-07-10 17:49:00,1,Changed Mind
RET-000068,ORD-001037,PROD-000545,2025-06-15 23:00:00,1,Changed Mind
RET-000069,ORD-000286,PROD-000385,2025-05-13 03:38:00,1,Changed Mind
RET-000070,ORD-000264,PROD-000113,2025-03-06 16:08:00,1,Wrong Size
RET-000071,ORD-001248,PROD-000242,2024-03-18 18:11:00,1,Buyer Remorse
RET-000073,ORD-000417,PROD-000458,2024-07-06 15:36:00,2,Defective Item
RET-000074,ORD-000808,PROD-000118,2025-09-10 13:59:00,4,Wrong Size
RET-000075,ORD-001105,PROD-000393,2024-11-04 19:07:00,2,Wrong Size
RET-000076,ORD-001106,PROD-000253,2026-05-06 23:25:00,1,Buyer Remorse
RET-000077,ORD-000551,PROD-000074,2024-11-12 02:16:00,1,Changed Mind
RET-000078,ORD-001112,PROD-000179,2026-07-27 02:42:00,1,Buyer Remorse
RET-000079,ORD-001106,PROD-000462,2026-05-18 20:25:00,1,Defective Item
RET-000080,ORD-000153,PROD-000161,2025-01-24 23:11:00,1,Defective Item
RET-000081,ORD-000023,PROD-000038,2024-02-29 09:59:00,1,Defective Item
RET-000082,ORD-000284,PROD-000537,2025-02-07 17:13:00,2,Changed Mind
RET-000083,ORD-000475,PROD-000378,2026-07-24 04:29:00,2,Changed Mind
RET-000084,ORD-000979,PROD-000097,2024-10-18 10:52:00,1,Late Delivery
RET-000085,ORD-000461,PROD-000304,2024-05-24 05:00:00,1,Wrong Size
RET-000086,ORD-000995,PROD-000233,2024-03-24 06:54:00,1,Late Delivery
RET-000087,ORD-000460,PROD-000386,2024-08-09 13:31:00,1,Wrong Size
RET-000088,ORD-000712,PROD-000052,2025-05-08 14:03:00,1,Changed Mind
RET-000089,ORD-001107,PROD-000064,2026-06-15 09:27:00,1,Changed Mind
RET-000090,ORD-000989,PROD-000100,2025-10-23 01:20:00,5,Wrong Size
RET-000091,ORD-000640,PROD-000081,2024-09-24 11:05:00,1,Defective Item
RET-000093,ORD-000273,PROD-000351,2024-11-25 04:34:00,2,Wrong Size
RET-000094,ORD-000981,PROD-000405,2025-03-01 19:46:00,1,Changed Mind
RET-000096,ORD-000857,PROD-000193,2025-02-05 01:04:00,2,Buyer Remorse
RET-000097,ORD-000468,PROD-000501,2026-08-01 19:22:00,3,Wrong Size
RET-000098,ORD-000861,PROD-000143,2024-05-18 04:25:00,1,Late Delivery
RET-000100,ORD-000442,PROD-000033,2024-12-04 05:08:00,1,Changed Mind
RET-000101,ORD-000434,PROD-000463,2024-04-06 21:00:00,1,Changed Mind
RET-000102,ORD-000124,PROD-000168,2026-02-27 02:29:00,1,Wrong Size
RET-000103,ORD-000599,PROD-000175,2024-05-06 02:24:00,1,Wrong Size
RET-000105,ORD-000084,PROD-000404,2025-04-05 00:47:00,1,Defective Item
RET-000107,ORD-000907,PROD-000365,2025-05-09 22:44:00,2,Wrong Size
RET-000108,ORD-001295,PROD-000105,2026-07-02 16:12:00,1,Buyer Remorse
RET-000109,ORD-000972,PROD-000288,2024-12-03 12:07:00,1,Wrong Size
RET-000110,ORD-000782,PROD-000484,2025-01-26 04:25:00,1,Wrong Size
RET-000111,ORD-000284,PROD-000335,2025-02-04 11:13:00,2,Wrong Size
RET-000112,ORD-000618,PROD-000108,2024-12-23 06:50:00,2,Defective Item
RET-000114,ORD-000540,PROD-000187,2025-01-11 22:57:00,1,Changed Mind
RET-000115,ORD-000698,PROD-000018,2026-04-24 01:06:00,1,Changed Mind
RET-000116,ORD-000972,PROD-000450,2024-11-20 04:07:00,1,Defective Item
RET-000117,ORD-001115,PROD-000011,2025-06-28 11:19:00,1,Defective Item
RET-000118,ORD-001114,PROD-000453,2026-03-15 04:11:00,1,Defective Item
RET-000119,ORD-000618,PROD-000255,2024-12-20 11:50:00,1,Changed Mind
RET-000120,ORD-000200,PROD-000481,2024-12-17 07:40:00,1,Defective Item
RET-000121,ORD-000329,PROD-000095,2025-03-19 05:37:00,2,Wrong Size
RET-000124,ORD-000306,PROD-000047,2026-06-20 05:21:00,1,Late Delivery
RET-000125,ORD-000365,PROD-000185,2025-10-02 20:12:00,1,Defective Item
RET-000126,ORD-000386,PROD-000113,2024-11-21 03:41:00,1,Defective Item
RET-000127,ORD-000905,PROD-000204,2025-02-02 20:53:00,1,Defective Item
RET-000128,ORD-001018,PROD-000116,2025-05-24 03:04:00,1,Late Delivery
RET-000129,ORD-000506,PROD-000531,2026-07-26 07:17:00,1,Late Delivery
RET-000130,ORD-000229,PROD-000476,2024-08-16 21:18:00,1,Wrong Size
RET-000131,ORD-001052,PROD-000069,2026-04-19 23:12:00,2,Defective Item
RET-000133,ORD-001006,PROD-000150,2026-06-04 20:10:00,2,Changed Mind
RET-000134,ORD-000496,PROD-000247,2025-05-11 08:19:00,2,Changed Mind
RET-000135,ORD-001289,PROD-000057,2025-09-30 07:52:00,1,Changed Mind
RET-000136,ORD-000448,PROD-000527,2026-03-07 10:27:00,2,Buyer Remorse
RET-000138,ORD-000858,PROD-000225,2025-08-19 13:10:00,2,Wrong Size
RET-000142,ORD-001098,PROD-000100,2024-09-13 18:10:00,3,Wrong Size
RET-000143,ORD-000488,PROD-000274,2025-09-26 23:46:00,1,Changed Mind
RET-000145,ORD-001095,PROD-000388,2024-07-19 13:49:00,1,Changed Mind
RET-000146,ORD-000935,PROD-000282,2026-02-08 15:22:00,1,Buyer Remorse
RET-000148,ORD-001018,PROD-000158,2025-06-06 00:04:00,1,Buyer Remorse
RET-000149,ORD-000752,PROD-000468,2025-04-12 21:47:00,2,Buyer Remorse
RET-000150,ORD-000398,PROD-000465,2025-07-28 13:42:00,1,Buyer Remorse
RET-000152,ORD-000432,PROD-000001,2024-12-07 16:13:00,3,Buyer Remorse
RET-000154,ORD-000673,PROD-000223,2026-01-08 13:53:00,1,Wrong Size
RET-000155,ORD-000343,PROD-000189,2025-08-07 09:24:00,2,Wrong Size
RET-000156,ORD-000016,PROD-000433,2026-02-21 22:47:00,1,Buyer Remorse
RET-000157,ORD-000196,PROD-000147,2025-06-15 17:21:00,1,Changed Mind
RET-000158,ORD-000406,PROD-000500,2025-09-05 03:41:00,1,Defective Item
RET-000160,ORD-000113,PROD-000291,2026-03-26 13:42:00,1,Changed Mind
RET-000161,ORD-000127,PROD-000537,2025-07-27 03:15:00,2,Buyer Remorse
RET-000162,ORD-000235,PROD-000255,2025-12-15 07:13:00,2,Wrong Size
RET-000163,ORD-000448,PROD-000327,2026-03-16 01:27:00,1,Defective Item
RET-000164,ORD-000656,PROD-000219,2025-05-30 17:17:00,1,Changed Mind
RET-000165,ORD-001253,PROD-000225,2024-12-15 00:04:00,1,Late Delivery
RET-000166,ORD-000222,PROD-000466,2024-08-17 16:56:00,1,Buyer Remorse
RET-000168,ORD-000847,PROD-000372,2025-01-02 09:42:00,1,Late Delivery
RET-000169,ORD-000935,PROD-000008,2026-01-28 01:22:00,1,Defective Item
RET-000170,ORD-001189,PROD-000353,2025-03-30 09:54:00,1,Buyer Remorse
RET-000171,ORD-000506,PROD-000090,2026-07-23 11:17:00,1,Buyer Remorse
RET-000172,ORD-000118,PROD-000510,2024-04-29 09:34:00,1,Defective Item
RET-000173,ORD-001059,PROD-000524,2025-01-21 01:43:00,1,Buyer Remorse
RET-000174,ORD-000227,PROD-000304,2024-07-01 18:12:00,1,Late Delivery
RET-000175,ORD-001010,PROD-000171,2025-07-05 09:38:00,1,Late Delivery
RET-000176,ORD-000580,PROD-000375,2025-04-19 18:48:00,1,Defective Item
RET-000177,ORD-001205,PROD-000017,2026-06-15 12:01:00,1,Late Delivery
RET-000178,ORD-000222,PROD-000549,2024-08-07 15:56:00,1,Wrong Size
RET-000179,ORD-000755,PROD-000225,2026-04-22 18:01:00,3,Wrong Size
RET-000180,ORD-000106,PROD-000202,2025-05-15 00:49:00,1,Buyer Remorse
RET-000181,ORD-000033,PROD-000155,2026-01-14 12:45:00,1,Wrong Size
RET-000182,ORD-001210,PROD-000064,2025-01-21 00:48:00,1,Buyer Remorse
RET-000183,ORD-001176,PROD-000297,2024-12-26 21:06:00,1,Defective Item
RET-000186,ORD-000699,PROD-000517,2025-07-15 09:45:00,1,Changed Mind
RET-000187,ORD-000131,PROD-000002,2025-04-08 02:35:00,1,Late Delivery
RET-000188,ORD-000047,PROD-000113,2024-06-10 07:55:00,1,Buyer Remorse
RET-000189,ORD-000780,PROD-000201,2025-03-15 18:47:00,1,Changed Mind
RET-000190,ORD-000792,PROD-000161,2026-01-03 21:34:00,1,Defective Item
RET-000191,ORD-000504,PROD-000400,2024-08-05 20:33:00,1,Wrong Size
RET-000193,ORD-000250,PROD-000296,2026-04-29 05:48:00,1,Late Delivery
RET-000195,ORD-000326,PROD-000073,2025-11-12 02:43:00,2,Wrong Size
RET-000196,ORD-000133,PROD-000340,2026-06-02 10:09:00,1,Buyer Remorse
RET-000199,ORD-000777,PROD-000184,2026-04-05 09:21:00,1,Defective Item
RET-000200,ORD-000293,PROD-000108,2025-03-20 22:20:00,2,Buyer Remorse
RET-000204,ORD-000734,PROD-000202,2025-03-12 15:40:00,1,Defective Item
RET-000206,ORD-000728,PROD-000547,2026-06-04 21:04:00,2,Buyer Remorse
RET-000207,ORD-000907,PROD-000140,2025-05-02 22:44:00,1,Defective Item
RET-000208,ORD-000312,PROD-000143,2024-10-28 23:11:00,1,Wrong Size
RET-000209,ORD-000238,PROD-000395,2024-12-09 17:33:00,1,Wrong Size
RET-000210,ORD-000256,PROD-000114,2025-09-14 05:51:00,3,Changed Mind
RET-000212,ORD-000591,PROD-000232,2026-06-17 22:52:00,1,Defective Item
RET-000213,ORD-001011,PROD-000530,2025-10-31 08:10:00,3,Buyer Remorse
RET-000215,ORD-000851,PROD-000032,2025-09-17 12:16:00,1,Late Delivery
RET-000216,ORD-000577,PROD-000033,2025-02-04 07:12:00,1,Changed Mind
RET-000217,ORD-000853,PROD-000285,2025-01-29 22:52:00,1,Buyer Remorse
RET-000219,ORD-001220,PROD-000292,2025-05-31 08:35:00,2,Defective Item
RET-000220,ORD-000345,PROD-000347,2024-12-24 12:23:00,1,Defective Item
RET-000221,ORD-001190,PROD-000408,2025-03-10 08:16:00,1,Changed Mind
RET-000222,ORD-001170,PROD-000336,2024-08-07 02:40:00,1,Late Delivery
RET-000223,ORD-001013,PROD-000308,2026-07-19 17:54:00,1,Changed Mind
RET-000225,ORD-000198,PROD-000140,2025-10-05 07:05:00,4,Buyer Remorse
RET-000226,ORD-000071,PROD-000447,2024-04-04 08:26:00,1,Buyer Remorse
RET-000227,ORD-000112,PROD-000075,2024-12-29 19:49:00,1,Late Delivery
RET-000228,ORD-000589,PROD-000396,2025-07-07 13:17:00,5,Defective Item
RET-000229,ORD-001213,PROD-000323,2025-03-02 20:01:00,2,Changed Mind
RET-000230,ORD-000804,PROD-000135,2024-09-07 20:18:00,2,Defective Item
RET-000231,ORD-000457,PROD-000288,2024-11-21 16:17:00,2,Wrong Size
RET-000232,ORD-000151,PROD-000184,2026-04-21 08:15:00,1,Changed Mind
RET-000235,ORD-000617,PROD-000156,2026-01-19 08:17:00,1,Wrong Size
RET-000236,ORD-000547,PROD-000091,2025-10-27 04:09:00,1,Late Delivery
RET-000238,ORD-001208,PROD-000317,2026-02-05 16:56:00,2,Changed Mind
RET-000239,ORD-000958,PROD-000150,2025-10-19 06:49:00,1,Changed Mind
RET-000241,ORD-001008,PROD-000324,2025-03-15 04:41:00,1,Late Delivery
RET-000242,ORD-000650,PROD-000128,2025-07-01 09:21:00,1,Buyer Remorse
RET-000244,ORD-000682,PROD-000105,2025-05-26 20:11:00,1,Defective Item
RET-000245,ORD-000982,PROD-000042,2025-04-20 14:01:00,3,Buyer Remorse
RET-000246,ORD-000777,PROD-000180,2026-04-01 06:21:00,4,Wrong Size
RET-000247,ORD-000354,PROD-000025,2024-03-16 10:31:00,2,Wrong Size
RET-000248,ORD-000194,PROD-000250,2025-11-10 04:06:00,1,Buyer Remorse
RET-000249,ORD-000261,PROD-000278,2024-09-03 14:18:00,2,Wrong Size
RET-000250,ORD-000024,PROD-000206,2024-05-14 21:12:00,1,Defective Item
RET-000252,ORD-000403,PROD-000412,2025-04-09 13:35:00,1,Defective Item
RET-000253,ORD-000982,PROD-000256,2025-04-18 23:01:00,1,Defective Item
RET-000254,ORD-000754,PROD-000017,2025-07-12 08:41:00,2,Late Delivery
RET-000255,ORD-000024,PROD-000148,2024-05-16 17:12:00,1,Defective Item
RET-000256,ORD-000683,PROD-000094,2025-10-13 21:17:00,1,Defective Item
RET-000257,ORD-000886,PROD-000092,2026-02-09 08:17:00,2,Buyer Remorse
RET-000258,ORD-001130,PROD-000207,2024-07-15 06:02:00,1,Changed Mind
RET-000260,ORD-000059,PROD-000146,2026-05-06 14:47:00,1,Buyer Remorse
RET-000261,ORD-001175,PROD-000463,2026-07-03 06:21:00,1,Defective Item
RET-000262,ORD-001261,PROD-000124,2024-03-05 07:52:00,1,Wrong Size
RET-000263,ORD-001030,PROD-000526,2025-09-12 23:19:00,1,Wrong Size
RET-000264,ORD-000211,PROD-000289,2024-12-01 20:00:00,1,Changed Mind
RET-000265,ORD-001049,PROD-000412,2024-08-22 00:07:00,1,Buyer Remorse
RET-000266,ORD-000340,PROD-000323,2024-06-18 11:04:00,1,Changed Mind
RET-000267,ORD-000511,PROD-000454,2026-01-31 23:38:00,1,Defective Item
RET-000269,ORD-001250,PROD-000182,2025-12-28 21:49:00,1,Late Delivery
RET-000271,ORD-000648,PROD-000118,2025-12-12 00:47:00,1,Defective Item
RET-000272,ORD-000349,PROD-000540,2025-07-23 17:42:00,1,Buyer Remorse
RET-000273,ORD-000619,PROD-000098,2025-04-14 22:47:00,2,Defective Item
RET-000274,ORD-001147,PROD-000008,2026-02-09 22:42:00,1,Changed Mind
RET-000275,ORD-000131,PROD-000501,2025-04-05 03:35:00,1,Late Delivery
RET-000277,ORD-000841,PROD-000188,2024-02-09 22:04:00,1,Defective Item
RET-000278,ORD-000560,PROD-000112,2025-03-14 18:12:00,1,Late Delivery
RET-000279,ORD-000035,PROD-000314,2024-10-09 03:58:00,2,Wrong Size
RET-000280,ORD-000938,PROD-000150,2025-12-16 22:11:00,3,Wrong Size
RET-000281,ORD-001197,PROD-000472,2025-05-22 19:41:00,2,Changed Mind
RET-000282,ORD-000522,PROD-000481,2025-02-25 13:05:00,2,Buyer Remorse
RET-000283,ORD-000648,PROD-000465,2025-12-18 08:47:00,1,Late Delivery
RET-000284,ORD-000498,PROD-000180,2026-05-27 04:06:00,1,Late Delivery
RET-000285,ORD-000280,PROD-000069,2024-05-14 03:42:00,1,Defective Item
RET-000286,ORD-000976,PROD-000420,2025-10-16 07:22:00,2,Buyer Remorse
RET-000287,ORD-000074,PROD-000378,2025-05-09 04:01:00,1,Wrong Size
RET-000288,ORD-000326,PROD-000547,2025-11-24 07:43:00,1,Wrong Size
RET-000289,ORD-001018,PROD-000160,2025-05-24 03:04:00,3,Late Delivery
RET-000291,ORD-000263,PROD-000299,2024-07-30 13:08:00,1,Changed Mind
RET-000292,ORD-000264,PROD-000490,2025-03-16 15:08:00,2,Changed Mind
RET-000294,ORD-000338,PROD-000445,2026-05-27 11:16:00,1,Late Delivery
RET-000295,ORD-001006,PROD-000186,2026-05-27 21:10:00,2,Late Delivery
RET-000296,ORD-000025,PROD-000043,2025-10-28 01:38:00,2,Changed Mind
RET-000298,ORD-000985,PROD-000147,2025-06-12 08:48:00,1,Buyer Remorse
RET-000300,ORD-000783,PROD-000394,2024-11-11 05:16:00,1,Changed Mind
RET-000301,ORD-000256,PROD-000487,2025-09-19 21:51:00,1,Buyer Remorse
RET-000302,ORD-000954,PROD-000294,2026-01-27 09:58:00,1,Buyer Remorse
RET-000303,ORD-000957,PROD-000377,2025-08-03 06:22:00,2,Late Delivery
RET-000304,ORD-000159,PROD-000412,2024-03-28 11:15:00,5,Late Delivery
RET-000305,ORD-000840,PROD-000041,2024-11-18 07:12:00,1,Wrong Size
RET-000306,ORD-001162,PROD-000203,2024-05-16 07:51:00,2,Wrong Size
RET-000307,ORD-000448,PROD-000458,2026-03-13 12:27:00,1,Late Delivery
RET-000309,ORD-001254,PROD-000516,2025-01-19 02:46:00,1,Buyer Remorse
RET-000312,ORD-001086,PROD-000209,2025-06-23 14:36:00,1,Wrong Size
RET-000313,ORD-001289,PROD-000209,2025-10-04 07:52:00,1,Defective Item
RET-000314,ORD-000713,PROD-000453,2024-08-16 09:53:00,1,Wrong Size
RET-000315,ORD-000164,PROD-000075,2025-04-02 16:05:00,3,Changed Mind
RET-000318,ORD-000261,PROD-000322,2024-09-13 12:18:00,1,Buyer Remorse
RET-000319,ORD-000235,PROD-000144,2025-12-03 09:13:00,1,Defective Item
RET-000321,ORD-000577,PROD-000132,2025-02-06 07:12:00,1,Wrong Size
RET-000325,ORD-000630,PROD-000449,2026-05-20 18:31:00,5,Buyer Remorse
RET-000326,ORD-000039,PROD-000393,2025-01-21 15:08:00,1,Defective Item
RET-000327,ORD-000466,PROD-000389,2025-10-31 20:19:00,1,Buyer Remorse
RET-000328,ORD-001023,PROD-000068,2024-05-23 16:54:00,1,Buyer Remorse
RET-000330,ORD-000463,PROD-000124,2024-10-08 06:17:00,2,Wrong Size
RET-000331,ORD-001145,PROD-000486,2024-12-01 17:57:00,1,Buyer Remorse
RET-000332,ORD-000158,PROD-000241,2024-07-10 22:57:00,1,Defective Item
RET-000333,ORD-000406,PROD-000505,2025-09-13 08:41:00,1,Late Delivery
RET-000334,ORD-000249,PROD-000231,2026-02-17 06:13:00,1,Late Delivery
RET-000335,ORD-000849,PROD-000102,2026-04-10 23:53:00,1,Buyer Remorse
RET-000336,ORD-000597,PROD-000410,2025-01-04 09:05:00,3,Defective Item
RET-000337,ORD-000245,PROD-000404,2024-10-21 11:47:00,1,Late Delivery
RET-000339,ORD-000312,PROD-000346,2024-10-26 19:11:00,1,Wrong Size
RET-000340,ORD-001261,PROD-000214,2024-02-26 21:52:00,1,Defective Item
RET-000341,ORD-001207,PROD-000319,2024-07-10 11:11:00,1,Late Delivery
RET-000342,ORD-000114,PROD-000015,2024-12-08 00:25:00,1,Wrong Size
RET-000343,ORD-000523,PROD-000123,2026-06-13 23:09:00,1,Buyer Remorse
RET-000344,ORD-000335,PROD-000107,2026-03-12 21:10:00,1,Late Delivery
RET-000346,ORD-000221,PROD-000149,2026-03-31 23:02:00,1,Buyer Remorse
RET-000347,ORD-001291,PROD-000526,2025-01-22 17:05:00,1,Wrong Size
RET-000348,ORD-001141,PROD-000347,2026-07-11 23:33:00,2,Buyer Remorse
RET-000349,ORD-001034,PROD-000219,2026-03-09 01:25:00,2,Changed Mind
RET-000350,ORD-000422,PROD-000525,2024-05-10 04:15:00,1,Buyer Remorse
RET-000351,ORD-000008,PROD-000546,2026-06-10 19:01:00,1,Wrong Size
RET-000352,ORD-000195,PROD-000270,2025-10-01 01:59:00,2,Wrong Size
RET-000354,ORD-000818,PROD-000425,2025-11-21 01:47:00,3,Buyer Remorse
RET-000356,ORD-000929,PROD-000036,2026-03-19 06:08:00,1,Buyer Remorse
RET-000357,ORD-000762,PROD-000227,2024-04-09 08:28:00,1,Defective Item
RET-000359,ORD-000238,PROD-000098,2024-12-07 01:33:00,1,Defective Item
RET-000360,ORD-000612,PROD-000240,2025-08-17 08:33:00,1,Buyer Remorse
RET-000361,ORD-001262,PROD-000138,2024-12-01 03:39:00,1,Changed Mind
RET-000364,ORD-000082,PROD-000406,2024-02-27 23:37:00,1,Changed Mind
RET-000365,ORD-000236,PROD-000148,2025-03-28 15:19:00,1,Buyer Remorse
RET-000366,ORD-000786,PROD-000375,2025-11-19 05:13:00,1,Wrong Size
RET-000367,ORD-000981,PROD-000046,2025-03-03 20:46:00,1,Defective Item
RET-000369,ORD-000118,PROD-000509,2024-05-10 12:34:00,1,Buyer Remorse
RET-000370,ORD-000328,PROD-000008,2025-12-17 11:00:00,1,Wrong Size
RET-000371,ORD-000261,PROD-000051,2024-09-03 11:18:00,1,Defective Item
RET-000372,ORD-001245,PROD-000293,2024-12-08 15:54:00,5,Wrong Size
RET-000374,ORD-000849,PROD-000274,2026-04-14 02:53:00,2,Buyer Remorse
RET-000377,ORD-000974,PROD-000375,2026-03-28 01:34:00,1,Wrong Size
RET-000379,ORD-000818,PROD-000352,2025-11-26 00:47:00,1,Wrong Size
RET-000380,ORD-000488,PROD-000376,2025-09-09 19:46:00,1,Changed Mind
RET-000381,ORD-000272,PROD-000410,2026-01-31 00:06:00,2,Buyer Remorse
RET-000382,ORD-000549,PROD-000137,2025-01-07 09:59:00,1,Buyer Remorse
RET-000383,ORD-001066,PROD-000258,2025-01-26 11:22:00,1,Defective Item
RET-000384,ORD-000201,PROD-000218,2025-09-11 12:18:00,1,Buyer Remorse
RET-000385,ORD-000124,PROD-000231,2026-03-10 06:29:00,1,Changed Mind
RET-000386,ORD-001160,PROD-000012,2025-11-22 12:55:00,1,Defective Item
RET-000388,ORD-000011,PROD-000390,2025-03-17 06:58:00,1,Buyer Remorse
RET-000390,ORD-000621,PROD-000003,2025-11-24 06:28:00,2,Defective Item
RET-000391,ORD-001264,PROD-000505,2025-06-10 12:29:00,1,Changed Mind
RET-000393,ORD-000522,PROD-000076,2025-02-25 10:05:00,2,Changed Mind
RET-000394,ORD-000102,PROD-000194,2026-04-25 05:39:00,1,Buyer Remorse
RET-000395,ORD-000157,PROD-000121,2024-03-09 07:03:00,1,Late Delivery
RET-000397,ORD-000785,PROD-000194,2024-02-24 19:00:00,1,Changed Mind
RET-000398,ORD-000741,PROD-000405,2026-06-27 05:51:00,1,Buyer Remorse
RET-000399,ORD-000941,PROD-000150,2025-06-06 16:21:00,1,Buyer Remorse
RET-000401,ORD-000374,PROD-000499,2024-03-08 02:25:00,1,Defective Item
RET-000402,ORD-001127,PROD-000132,2025-12-22 05:33:00,1,Buyer Remorse
RET-000403,ORD-000061,PROD-000389,2025-05-07 20:30:00,1,Buyer Remorse
RET-000404,ORD-001092,PROD-000154,2024-12-03 10:39:00,1,Changed Mind
RET-000405,ORD-000818,PROD-000087,2025-11-09 00:47:00,1,Late Delivery
RET-000407,ORD-000493,PROD-000393,2024-06-20 09:49:00,1,Late Delivery
RET-000408,ORD-000125,PROD-000401,2025-09-07 03:57:00,2,Changed Mind
RET-000409,ORD-000639,PROD-000257,2026-05-27 03:08:00,1,Wrong Size
RET-000410,ORD-000169,PROD-000388,2024-11-25 09:10:00,2,Late Delivery
RET-000412,ORD-001236,PROD-000193,2024-12-13 08:57:00,1,Changed Mind
RET-000413,ORD-000209,PROD-000425,2025-09-25 22:32:00,1,Defective Item
RET-000414,ORD-000965,PROD-000300,2025-01-07 05:36:00,1,Wrong Size
RET-000415,ORD-000507,PROD-000144,2026-05-08 09:55:00,1,Defective Item
RET-000417,ORD-000344,PROD-000182,2025-06-06 18:38:00,1,Defective Item
RET-000419,ORD-000852,PROD-000389,2025-04-15 00:16:00,1,Buyer Remorse
RET-000420,ORD-000451,PROD-000046,2025-12-28 01:12:00,1,Defective Item
RET-000421,ORD-000378,PROD-000062,2025-05-28 00:10:00,1,Wrong Size
RET-000422,ORD-000089,PROD-000057,2025-11-28 20:28:00,1,Wrong Size
RET-000423,ORD-000241,PROD-000263,2024-02-27 07:28:00,1,Wrong Size
RET-000424,ORD-000610,PROD-000055,2025-06-15 20:38:00,1,Late Delivery
