order_key,customer_key,order_timestamp,order_status,payment_method,shipping_region,fulfillment_center
ORD-000066,CUST-000311,2024-07-02 04:43:00,Delivered,Apple Pay,NC,FC-West-02
ORD-000068,CUST-000532,2024-05-21 16:27:00,Shipped,Buy Now Pay Later,GA,FC-East-01
ORD-000069,CUST-000589,2026-05-13 08:22:00,Delivered,Apple Pay,CA,FC-North-05
ORD-000070,CUST-000522,2024-02-17 03:47:00,Shipped,Buy Now Pay Later,TX,FC-West-02
ORD-000071,CUST-000407,2024-03-18 02:26:00,Returned,Apple Pay,WA,FC-Central-03
ORD-000072,CUST-000471,2026-03-17 21:28:00,Delivered,Direct Bank Transfer,PA,FC-Central-03
ORD-000073,CUST-000193,2024-09-04 05:05:00,Delivered,Direct Bank Transfer,CO,FC-Central-03
ORD-000074,CUST-000110,2025-04-20 17:01:00,Delivered,Credit Card,CA,FC-South-04
ORD-000075,CUST-000014,2024-07-25 20:30:00,Shipped,Buy Now Pay Later,CO,FC-South-04
ORD-000076,CUST-000626,2026-02-13 15:19:00,Delivered,Direct Bank Transfer,PA,FC-North-05
ORD-000077,CUST-000409,2026-05-04 09:05:00,Delivered,PayPal,NY,FC-West-02
ORD-000078,CUST-000197,2024-05-25 00:44:00,Delivered,PayPal,FL,FC-East-01
ORD-000079,CUST-000498,2025-11-26 04:41:00,Processing,PayPal,CO,FC-South-04
ORD-000080,CUST-000558,2024-08-14 02:19:00,Delivered,Buy Now Pay Later,GA,FC-West-02
ORD-000081,CUST-000438,2024-02-23 03:10:00,Delivered,PayPal,GA,FC-South-04
ORD-000082,CUST-000488,2024-02-21 14:37:00,Delivered,PayPal,IL,FC-West-02
ORD-000083,CUST-000590,2026-05-30 12:03:00,Returned,Apple Pay,CA,FC-East-01
ORD-000084,CUST-000448,2025-04-01 15:47:00,Delivered,Direct Bank Transfer,MI,FC-North-05
ORD-000086,CUST-000614,2026-02-12 19:59:00,Processing,Buy Now Pay Later,MI,FC-West-02
ORD-000087,CUST-000063,2025-07-25 00:27:00,Cancelled,Direct Bank Transfer,NC,FC-Central-03
ORD-000088,CUST-000066,2024-11-01 20:26:00,Delivered,Buy Now Pay Later,GA,FC-East-01
ORD-000089,CUST-000647,2025-11-23 11:28:00,Delivered,Buy Now Pay Later,TX,FC-East-01
ORD-000090,CUST-000298,2026-02-13 06:30:00,Shipped,Apple Pay,FL,FC-South-04
ORD-000091,CUST-000526,2024-09-12 18:58:00,Processing,Apple Pay,MI,FC-North-05
ORD-000092,CUST-000485,2024-06-14 09:46:00,Delivered,Buy Now Pay Later,CO,FC-South-04
ORD-000093,CUST-000373,2026-04-26 15:51:00,Delivered,PayPal,FL,FC-North-05
ORD-000094,CUST-000293,2026-01-08 23:05:00,Shipped,Buy Now Pay Later,TX,FC-West-02
ORD-000095,CUST-000207,2024-07-10 19:31:00,Shipped,Credit Card,GA,FC-South-04
ORD-000096,CUST-000314,2024-09-28 06:35:00,Shipped,Credit Card,PA,FC-East-01
ORD-000097,CUST-000270,2025-01-31 21:10:00,Delivered,PayPal,NY,FC-North-05
ORD-000098,CUST-000066,2025-01-11 13:07:00,Delivered,Direct Bank Transfer,CA,FC-West-02
ORD-000099,CUST-000582,2024-09-17 15:16:00,Cancelled,Apple Pay,NY,FC-Central-03
ORD-000101,CUST-000108,2026-01-24 01:59:00,Shipped,Buy Now Pay Later,CA,FC-South-04
ORD-000102,CUST-000110,2026-04-11 19:39:00,Delivered,Credit Card,NY,FC-North-05
ORD-000103,CUST-000526,2024-05-18 05:40:00,Delivered,Credit Card,PA,FC-West-02
ORD-000104,CUST-000162,2026-02-15 09:45:00,Shipped,Buy Now Pay Later,GA,FC-North-05
ORD-000105,CUST-000103,2024-07-07 20:23:00,Delivered,Apple Pay,CA,FC-West-02
ORD-000106,CUST-000209,2025-04-25 13:49:00,Returned,Credit Card,GA,FC-West-02
ORD-000108,CUST-000430,2025-02-04 20:42:00,Delivered,PayPal,NC,FC-West-02
ORD-000109,CUST-000437,2026-04-17 07:08:00,Processing,Buy Now Pay Later,OH,FC-South-04
ORD-000110,CUST-000475,2026-06-22 16:50:00,Delivered,Apple Pay,GA,FC-East-01
ORD-000111,CUST-000151,2026-03-30 00:45:00,Delivered,Direct Bank Transfer,CA,FC-East-01
ORD-000112,CUST-000351,2024-12-19 12:49:00,Delivered,PayPal,NY,FC-South-04
ORD-000113,CUST-000407,2026-03-19 01:42:00,Delivered,PayPal,NY,FC-North-05
ORD-000114,CUST-000539,2024-11-29 13:25:00,Delivered,Direct Bank Transfer,MI,FC-Central-03
ORD-000115,CUST-000325,2025-01-18 00:52:00,Delivered,Apple Pay,WA,FC-North-05
ORD-000116,CUST-000152,2026-01-18 12:28:00,Cancelled,PayPal,WA,FC-North-05
ORD-000117,CUST-000643,2025-11-29 14:44:00,Delivered,Apple Pay,FL,FC-South-04
ORD-000118,CUST-000312,2024-04-27 01:34:00,Delivered,Apple Pay,MI,FC-South-04
ORD-000122,CUST-000115,2026-02-19 01:53:00,Delivered,Apple Pay,CO,FC-Central-03
ORD-000123,CUST-000526,2025-01-28 03:03:00,Delivered,Credit Card,IL,FC-South-04
ORD-000124,CUST-000593,2026-02-24 00:29:00,Delivered,Apple Pay,MI,FC-West-02
ORD-000125,CUST-000602,2025-09-02 22:57:00,Returned,Direct Bank Transfer,FL,FC-North-05
ORD-000126,CUST-000363,2024-12-03 09:42:00,Delivered,Direct Bank Transfer,MI,FC-West-02
ORD-000127,CUST-000391,2025-07-17 23:15:00,Delivered,Credit Card,NC,FC-Central-03
ORD-000128,CUST-000603,2024-08-16 11:29:00,Shipped,Credit Card,MI,FC-West-02
ORD-000129,CUST-000441,2026-05-29 13:05:00,Processing,Credit Card,OH,FC-East-01
ORD-000130,CUST-000135,2025-06-02 06:28:00,Delivered,Credit Card,CO,FC-Central-03
ORD-000131,CUST-000545,2025-03-19 18:35:00,Delivered,Direct Bank Transfer,IL,FC-South-04
ORD-000132,CUST-000606,2025-06-25 20:27:00,Delivered,Buy Now Pay Later,MI,FC-South-04
ORD-000133,CUST-000432,2026-05-24 05:09:00,Delivered,Direct Bank Transfer,GA,FC-West-02
ORD-000134,CUST-000474,2024-06-12 22:32:00,Delivered,Direct Bank Transfer,MI,FC-East-01
ORD-000136,CUST-000123,2025-10-09 13:07:00,Delivered,Credit Card,WA,FC-Central-03
ORD-000137,CUST-000300,2024-03-13 16:09:00,Delivered,Credit Card,IL,FC-Central-03
ORD-000139,CUST-000612,2025-04-07 01:59:00,Delivered,Apple Pay,FL,FC-Central-03
ORD-000140,CUST-000189,2026-05-19 23:31:00,Delivered,Credit Card,NC,FC-East-01
ORD-000141,CUST-000362,2024-04-10 01:26:00,Delivered,Buy Now Pay Later,IL,FC-North-05
ORD-000142,CUST-000586,2025-05-09 10:50:00,Delivered,Buy Now Pay Later,MI,FC-South-04
ORD-000143,CUST-000630,2024-06-15 04:32:00,Delivered,Buy Now Pay Later,CO,FC-South-04
ORD-000144,CUST-000465,2024-07-02 23:20:00,Shipped,Credit Card,CO,FC-North-05
ORD-000145,CUST-000648,2025-03-26 12:14:00,Processing,Buy Now Pay Later,NC,FC-Central-03
ORD-000146,CUST-000047,2025-12-18 14:47:00,Cancelled,Apple Pay,TX,FC-East-01
ORD-000147,CUST-000026,2025-09-08 20:50:00,Returned,Apple Pay,CO,FC-North-05
ORD-000149,CUST-000597,2026-03-17 01:36:00,Returned,Direct Bank Transfer,GA,FC-West-02
ORD-000150,CUST-000521,2024-02-20 03:42:00,Delivered,Direct Bank Transfer,NY,FC-West-02
ORD-000151,CUST-000285,2026-04-16 06:15:00,Delivered,Direct Bank Transfer,CA,FC-South-04
ORD-000152,CUST-000553,2025-10-14 10:25:00,Delivered,Direct Bank Transfer,GA,FC-East-01
ORD-000153,CUST-000024,2025-01-14 13:11:00,Delivered,Buy Now Pay Later,NC,FC-East-01
ORD-000154,CUST-000328,2025-02-26 08:05:00,Delivered,Credit Card,NC,FC-East-01
ORD-000155,CUST-000174,2024-11-19 04:11:00,Processing,Apple Pay,TX,FC-East-01
ORD-000156,CUST-000318,2025-03-24 21:10:00,Delivered,Credit Card,PA,FC-North-05
ORD-000157,CUST-000187,2024-02-28 22:03:00,Delivered,Apple Pay,CA,FC-South-04
ORD-000158,CUST-000332,2024-06-25 13:57:00,Delivered,Apple Pay,OH,FC-Central-03
ORD-000159,CUST-000125,2024-03-25 06:15:00,Delivered,Direct Bank Transfer,FL,FC-North-05
ORD-000160,CUST-000511,2025-07-05 16:24:00,Delivered,Credit Card,NY,FC-Central-03
ORD-000161,CUST-000329,2025-05-21 17:26:00,Processing,Credit Card,NY,FC-South-04
ORD-000162,CUST-000423,2025-11-10 07:58:00,Delivered,Credit Card,NC,FC-Central-03
ORD-000163,CUST-000608,2025-12-23 03:15:00,Shipped,Direct Bank Transfer,IL,FC-West-02
ORD-000164,CUST-000588,2025-03-23 14:05:00,Delivered,Direct Bank Transfer,TX,FC-West-02
ORD-000165,CUST-000387,2025-08-07 05:50:00,Delivered,PayPal,OH,FC-North-05
ORD-000166,CUST-000575,2025-05-08 01:00:00,Delivered,Buy Now Pay Later,IL,FC-North-05
ORD-000167,CUST-000173,2024-02-01 01:59:00,Shipped,Buy Now Pay Later,WA,FC-Central-03
ORD-000168,CUST-000259,2026-06-09 21:24:00,Shipped,Apple Pay,WA,FC-West-02
ORD-000169,CUST-000529,2024-11-15 01:10:00,Delivered,Direct Bank Transfer,CA,FC-North-05
ORD-000170,CUST-000311,2024-05-02 12:44:00,Cancelled,Credit Card,MI,FC-West-02
ORD-000171,CUST-000576,2024-11-13 13:13:00,Delivered,Direct Bank Transfer,PA,FC-North-05
ORD-000172,CUST-000355,2025-11-12 08:48:00,Processing,Buy Now Pay Later,FL,FC-Central-03
ORD-000173,CUST-000334,2025-01-15 06:29:00,Delivered,Direct Bank Transfer,NY,FC-Central-03
ORD-000174,CUST-000138,2025-11-23 00:38:00,Delivered,Buy Now Pay Later,NY,FC-East-01
ORD-000175,CUST-000179,2025-03-30 17:57:00,Processing,Buy Now Pay Later,NC,FC-South-04
ORD-000176,CUST-000084,2026-04-17 20:41:00,Delivered,Credit Card,NY,FC-North-05
ORD-000177,CUST-000461,2025-12-20 03:22:00,Delivered,Buy Now Pay Later,PA,FC-North-05
ORD-000178,CUST-000401,2024-07-31 22:00:00,Delivered,Credit Card,PA,FC-South-04
ORD-000179,CUST-000199,2025-05-01 00:14:00,Delivered,Credit Card,CO,FC-Central-03
ORD-000180,CUST-000371,2024-08-15 02:52:00,Delivered,Direct Bank Transfer,MI,FC-Central-03
ORD-000181,CUST-000229,2024-09-27 15:23:00,Processing,Credit Card,GA,FC-Central-03
ORD-000182,CUST-000630,2024-09-02 00:12:00,Processing,Buy Now Pay Later,IL,FC-East-01
ORD-000183,CUST-000589,2025-06-27 15:10:00,Delivered,Direct Bank Transfer,CO,FC-West-02
ORD-000185,CUST-000611,2024-06-11 23:04:00,Delivered,PayPal,WA,FC-Central-03
ORD-000186,CUST-000236,2025-07-20 23:50:00,Delivered,Apple Pay,CO,FC-West-02
ORD-000187,CUST-000024,2026-01-10 21:34:00,Delivered,Direct Bank Transfer,CO,FC-Central-03
ORD-000188,CUST-000580,2025-05-10 00:27:00,Cancelled,Credit Card,OH,FC-Central-03
ORD-000189,CUST-000422,2024-11-07 03:43:00,Processing,Direct Bank Transfer,GA,FC-South-04
ORD-000190,CUST-000375,2025-07-14 01:56:00,Shipped,PayPal,IL,FC-East-01
ORD-000192,CUST-000347,2024-04-24 18:51:00,Delivered,Credit Card,MI,FC-West-02
ORD-000194,CUST-000065,2025-11-03 20:06:00,Delivered,Credit Card,OH,FC-South-04
ORD-000195,CUST-000025,2025-09-29 20:59:00,Delivered,Apple Pay,FL,FC-Central-03
ORD-000196,CUST-000112,2025-05-30 07:21:00,Delivered,Credit Card,NC,FC-Central-03
ORD-000197,CUST-000245,2024-04-15 19:39:00,Delivered,Buy Now Pay Later,CO,FC-East-01
ORD-000198,CUST-000463,2025-09-15 03:05:00,Returned,Credit Card,OH,FC-East-01
ORD-000199,CUST-000324,2026-06-18 22:04:00,Delivered,PayPal,GA,FC-East-01
ORD-000200,CUST-000057,2024-12-05 19:40:00,Returned,Buy Now Pay Later,CA,FC-East-01
ORD-000201,CUST-000058,2025-08-26 01:18:00,Delivered,Buy Now Pay Later,CA,FC-South-04
ORD-000202,CUST-000642,2026-03-12 13:14:00,Delivered,Direct Bank Transfer,NY,FC-North-05
ORD-000203,CUST-000470,2025-02-28 14:50:00,Delivered,Buy Now Pay Later,WA,FC-North-05
ORD-000204,CUST-000105,2025-01-13 20:43:00,Delivered,Credit Card,NC,FC-South-04
ORD-000205,CUST-000341,2025-09-24 06:06:00,Delivered,Credit Card,WA,FC-East-01
ORD-000206,CUST-000070,2025-09-30 06:57:00,Delivered,Direct Bank Transfer,CO,FC-West-02
ORD-000207,CUST-000528,2024-10-20 11:26:00,Cancelled,Buy Now Pay Later,GA,FC-North-05
ORD-000208,CUST-000192,2024-10-06 04:51:00,Delivered,Credit Card,TX,FC-East-01
ORD-000209,CUST-000323,2025-09-21 13:32:00,Delivered,Apple Pay,WA,FC-Central-03
ORD-000210,CUST-000561,2026-04-05 04:09:00,Delivered,Buy Now Pay Later,WA,FC-Central-03
ORD-000211,CUST-000356,2024-11-25 11:00:00,Delivered,Direct Bank Transfer,CO,FC-North-05
ORD-000213,CUST-000357,2024-08-19 06:40:00,Delivered,PayPal,PA,FC-East-01
ORD-000214,CUST-000195,2025-12-15 15:44:00,Returned,Buy Now Pay Later,MI,FC-North-05
ORD-000215,CUST-000344,2026-06-22 18:36:00,Shipped,Apple Pay,IL,FC-North-05
ORD-000216,CUST-000434,2025-01-02 05:06:00,Shipped,Buy Now Pay Later,GA,FC-East-01
ORD-000217,CUST-000227,2024-02-04 20:14:00,Delivered,PayPal,WA,FC-South-04
ORD-000218,CUST-000221,2024-10-02 15:47:00,Delivered,Apple Pay,FL,FC-South-04
ORD-000219,CUST-000414,2024-08-07 00:23:00,Cancelled,Credit Card,PA,FC-East-01
ORD-000220,CUST-000031,2025-08-22 03:09:00,Delivered,Apple Pay,FL,FC-South-04
ORD-000221,CUST-000607,2026-03-25 11:02:00,Delivered,Credit Card,FL,FC-West-02
ORD-000222,CUST-000294,2024-07-28 07:56:00,Delivered,Apple Pay,PA,FC-West-02
ORD-000224,CUST-000105,2024-02-22 21:08:00,Delivered,Buy Now Pay Later,PA,FC-East-01
ORD-000225,CUST-000218,2024-12-09 14:15:00,Shipped,Apple Pay,CO,FC-Central-03
ORD-000227,CUST-000149,2024-06-13 06:12:00,Delivered,Direct Bank Transfer,MI,FC-South-04
ORD-000228,CUST-000388,2024-12-22 19:27:00,Cancelled,PayPal,WA,FC-East-01
ORD-000229,CUST-000609,2024-08-12 17:18:00,Delivered,PayPal,FL,FC-Central-03
ORD-000231,CUST-000507,2024-09-02 23:05:00,Delivered,Buy Now Pay Later,CA,FC-North-05
ORD-000234,CUST-000500,2026-02-02 15:30:00,Delivered,Apple Pay,OH,FC-North-05
ORD-000235,CUST-000605,2025-11-27 01:13:00,Delivered,PayPal,GA,FC-West-02
ORD-000236,CUST-000243,2025-03-12 06:19:00,Delivered,Buy Now Pay Later,WA,FC-South-04
ORD-000237,CUST-000162,2026-06-12 11:16:00,Delivered,Direct Bank Transfer,TX,FC-East-01
ORD-000238,CUST-000087,2024-11-29 14:33:00,Delivered,Apple Pay,WA,FC-West-02
ORD-000239,CUST-000043,2025-05-22 16:39:00,Delivered,Apple Pay,GA,FC-South-04
ORD-000240,CUST-000484,2025-04-18 13:23:00,Cancelled,Buy Now Pay Later,IL,FC-Central-03
ORD-000241,CUST-000396,2024-02-26 05:28:00,Delivered,PayPal,CO,FC-Central-03
ORD-000242,CUST-000078,2025-02-02 02:18:00,Shipped,Direct Bank Transfer,NC,FC-North-05
ORD-000243,CUST-000081,2026-04-15 08:59:00,Delivered,PayPal,CA,FC-East-01
ORD-000245,CUST-000342,2024-10-14 09:47:00,Delivered,Apple Pay,MI,FC-West-02
ORD-000246,CUST-000628,2024-06-21 22:47:00,Delivered,Direct Bank Transfer,NY,FC-Central-03
ORD-000247,CUST-000310,2024-11-15 11:50:00,Returned,Buy Now Pay Later,WA,FC-South-04
ORD-000248,CUST-000013,2025-05-29 20:32:00,Delivered,PayPal,FL,FC-South-04
ORD-000249,CUST-000235,2026-02-10 23:13:00,Delivered,Buy Now Pay Later,NC,FC-West-02
ORD-000250,CUST-000609,2026-04-15 17:48:00,Delivered,Buy Now Pay Later,PA,FC-South-04
ORD-000251,CUST-000088,2024-12-17 06:27:00,Processing,Buy Now Pay Later,GA,FC-West-02
ORD-000252,CUST-000466,2026-06-23 17:01:00,Delivered,Apple Pay,WA,FC-West-02
ORD-000253,CUST-000133,2024-12-09 23:00:00,Delivered,Buy Now Pay Later,PA,FC-Central-03
ORD-000254,CUST-000233,2025-04-05 13:43:00,Processing,Buy Now Pay Later,IL,FC-North-05
ORD-000255,CUST-000338,2025-09-24 00:36:00,Shipped,Credit Card,TX,FC-West-02
ORD-000256,CUST-000343,2025-09-04 20:51:00,Returned,Direct Bank Transfer,WA,FC-North-05
ORD-000257,CUST-000405,2025-02-25 06:25:00,Delivered,Credit Card,OH,FC-North-05
ORD-000258,CUST-000194,2025-06-01 03:21:00,Delivered,Direct Bank Transfer,CO,FC-South-04
ORD-000259,CUST-000315,2024-05-06 05:06:00,Delivered,Direct Bank Transfer,NY,FC-West-02
ORD-000260,CUST-000627,2025-06-15 00:11:00,Cancelled,PayPal,OH,FC-East-01
ORD-000261,CUST-000294,2024-08-29 07:18:00,Delivered,Direct Bank Transfer,GA,FC-East-01
ORD-000262,CUST-000059,2025-02-12 16:00:00,Shipped,PayPal,OH,FC-Central-03
ORD-000263,CUST-000405,2024-07-10 03:08:00,Delivered,Direct Bank Transfer,GA,FC-South-04
ORD-000264,CUST-000071,2025-03-05 06:08:00,Delivered,PayPal,OH,FC-Central-03
ORD-000265,CUST-000492,2024-07-12 19:36:00,Delivered,Apple Pay,FL,FC-North-05
ORD-000266,CUST-000521,2026-02-03 21:29:00,Delivered,Apple Pay,NY,FC-West-02
ORD-000267,CUST-000148,2025-05-02 02:52:00,Cancelled,Buy Now Pay Later,FL,FC-North-05
ORD-000268,CUST-000545,2025-01-02 18:56:00,Delivered,Buy Now Pay Later,GA,FC-South-04
ORD-000269,CUST-000596,2024-03-12 23:05:00,Delivered,Apple Pay,PA,FC-South-04
ORD-000270,CUST-000308,2025-03-07 19:52:00,Delivered,PayPal,FL,FC-South-04
ORD-000271,CUST-000185,2025-10-25 23:27:00,Delivered,Buy Now Pay Later,CO,FC-South-04
ORD-000272,CUST-000189,2026-01-16 18:06:00,Delivered,Buy Now Pay Later,FL,FC-East-01
ORD-000273,CUST-000163,2024-11-07 20:34:00,Delivered,Apple Pay,MI,FC-East-01
ORD-000274,CUST-000225,2025-06-20 13:48:00,Delivered,Direct Bank Transfer,PA,FC-East-01
ORD-000275,CUST-000079,2026-03-15 03:32:00,Delivered,Apple Pay,GA,FC-South-04
ORD-000276,CUST-000170,2024-10-16 06:32:00,Delivered,Credit Card,NY,FC-South-04
ORD-000278,CUST-000413,2026-06-26 06:25:00,Delivered,Credit Card,IL,FC-East-01
ORD-000279,CUST-000119,2026-01-27 04:20:00,Delivered,Buy Now Pay Later,GA,FC-South-04
ORD-000280,CUST-000070,2024-04-25 17:42:00,Delivered,PayPal,TX,FC-South-04
ORD-000281,CUST-000488,2026-05-21 08:53:00,Shipped,PayPal,NY,FC-West-02
ORD-000283,CUST-000405,2024-07-22 02:42:00,Delivered,Credit Card,TX,FC-Central-03
ORD-000284,CUST-000457,2025-02-01 05:13:00,Delivered,Credit Card,FL,FC-North-05
ORD-000285,CUST-000458,2026-01-14 01:53:00,Delivered,Direct Bank Transfer,OH,FC-East-01
ORD-000286,CUST-000319,2025-04-30 01:38:00,Delivered,Credit Card,OH,FC-East-01
ORD-000287,CUST-000209,2024-10-13 11:58:00,Delivered,PayPal,CA,FC-West-02
ORD-000288,CUST-000017,2025-04-07 00:00:00,Delivered,Apple Pay,CO,FC-West-02
ORD-000289,CUST-000065,2024-09-13 03:51:00,Delivered,PayPal,NY,FC-West-02
ORD-000290,CUST-000431,2025-07-09 03:52:00,Cancelled,Apple Pay,NC,FC-Central-03
ORD-000291,CUST-000196,2025-11-01 06:59:00,Delivered,Direct Bank Transfer,OH,FC-South-04
ORD-000292,CUST-000125,2024-09-25 06:06:00,Delivered,Apple Pay,TX,FC-Central-03
ORD-000293,CUST-000016,2025-03-18 20:20:00,Delivered,Credit Card,FL,FC-South-04
ORD-000294,CUST-000475,2024-09-13 02:42:00,Returned,Apple Pay,PA,FC-North-05
ORD-000295,CUST-000045,2024-04-09 06:26:00,Delivered,Apple Pay,GA,FC-North-05
ORD-000296,CUST-000106,2026-01-30 17:50:00,Delivered,Direct Bank Transfer,IL,FC-West-02
ORD-000297,CUST-000099,2025-10-07 10:40:00,Delivered,Buy Now Pay Later,PA,FC-West-02
ORD-000299,CUST-000019,2025-10-16 18:28:00,Returned,Buy Now Pay Later,CO,FC-North-05
ORD-000300,CUST-000241,2025-06-30 18:45:00,Delivered,Credit Card,NY,FC-West-02
ORD-000301,CUST-000641,2026-03-19 03:19:00,Delivered,PayPal,FL,FC-South-04
ORD-000302,CUST-000644,2024-04-22 01:08:00,Delivered,Apple Pay,IL,FC-South-04
ORD-000303,CUST-000209,2024-07-05 12:13:00,Delivered,Credit Card,MI,FC-West-02
ORD-000304,CUST-000622,2025-04-30 23:56:00,Processing,Apple Pay,IL,FC-West-02
ORD-000305,CUST-000329,2025-11-21 01:33:00,Delivered,Buy Now Pay Later,NY,FC-Central-03
ORD-000306,CUST-000237,2026-06-17 23:21:00,Delivered,Apple Pay,FL,FC-West-02
